,year,record,age,grade,consideration,plan,attempt
8,2001,4052,1.0,4.0,1.0,1.0,1.0
15,2001,7532,4.0,1.0,1.0,2.0,1.0
17,2001,7534,4.0,1.0,1.0,1.0,1.0
22,2001,9836,5.0,1.0,1.0,2.0,1.0
24,2001,9838,5.0,2.0,1.0,1.0,1.0
59,2001,24889,2.0,1.0,2.0,1.0,1.0
150,2001,39743,3.0,1.0,1.0,1.0,1.0
156,2001,39749,3.0,1.0,1.0,2.0,1.0
161,2001,39754,3.0,1.0,1.0,1.0,1.0
166,2001,39759,3.0,1.0,1.0,1.0,1.0
168,2001,39761,3.0,1.0,2.0,2.0,1.0
234,2001,187208,4.0,1.0,1.0,2.0,1.0
244,2001,187218,4.0,2.0,2.0,2.0,1.0
259,2001,187233,4.0,1.0,1.0,1.0,1.0
265,2001,187239,4.0,2.0,1.0,2.0,1.0
285,2001,187259,4.0,2.0,1.0,1.0,1.0
295,2001,187269,4.0,1.0,2.0,1.0,1.0
301,2001,187275,4.0,1.0,1.0,2.0,1.0
339,2001,187313,4.0,1.0,1.0,1.0,1.0
395,2001,187369,4.0,2.0,1.0,1.0,1.0
397,2001,187371,4.0,1.0,1.0,1.0,1.0
409,2001,187383,4.0,2.0,1.0,1.0,1.0
424,2001,187398,4.0,1.0,2.0,2.0,1.0
438,2001,187412,4.0,1.0,1.0,1.0,1.0
494,2001,187468,4.0,2.0,1.0,2.0,1.0
522,2001,187496,4.0,1.0,1.0,1.0,1.0
524,2001,187498,4.0,2.0,2.0,1.0,1.0
533,2001,187507,4.0,2.0,1.0,1.0,1.0
551,2001,187525,4.0,1.0,1.0,1.0,1.0
601,2001,187575,4.0,2.0,2.0,2.0,1.0
603,2001,187577,4.0,1.0,1.0,1.0,1.0
628,2001,187602,4.0,1.0,1.0,2.0,1.0
633,2001,187607,4.0,1.0,1.0,1.0,1.0
641,2001,187615,4.0,1.0,2.0,1.0,1.0
643,2001,187617,4.0,1.0,1.0,2.0,1.0
690,2001,187664,4.0,1.0,1.0,2.0,1.0
692,2001,187666,4.0,1.0,1.0,1.0,1.0
719,2001,187693,4.0,1.0,1.0,2.0,1.0
747,2001,187721,4.0,1.0,1.0,2.0,1.0
785,2001,187759,4.0,1.0,1.0,1.0,1.0
787,2001,187761,4.0,1.0,1.0,1.0,1.0
800,2001,187774,4.0,1.0,1.0,2.0,1.0
814,2001,465997,5.0,3.0,1.0,1.0,1.0
833,2001,466016,5.0,2.0,2.0,1.0,1.0
844,2001,466027,5.0,3.0,1.0,1.0,1.0
851,2001,466034,5.0,1.0,1.0,1.0,1.0
870,2001,466053,5.0,4.0,1.0,1.0,1.0
875,2001,466058,5.0,2.0,2.0,1.0,1.0
885,2001,466068,5.0,3.0,2.0,2.0,1.0
959,2001,466142,5.0,2.0,1.0,1.0,1.0
964,2001,466147,5.0,2.0,1.0,1.0,1.0
967,2001,466150,5.0,3.0,1.0,1.0,1.0
1009,2001,466192,5.0,1.0,1.0,1.0,1.0
1030,2001,466213,5.0,3.0,1.0,2.0,1.0
1032,2001,466215,5.0,3.0,1.0,2.0,1.0
1041,2001,466224,5.0,2.0,2.0,2.0,1.0
1055,2001,466238,5.0,2.0,1.0,1.0,1.0
1066,2001,466249,5.0,2.0,2.0,2.0,1.0
1084,2001,466267,5.0,2.0,1.0,1.0,1.0
1087,2001,466270,5.0,1.0,1.0,2.0,1.0
1104,2001,466287,5.0,1.0,1.0,1.0,1.0
1107,2001,466290,5.0,2.0,1.0,1.0,1.0
1114,2001,466297,5.0,2.0,2.0,2.0,1.0
1130,2001,466313,5.0,2.0,1.0,1.0,1.0
1133,2001,466316,5.0,1.0,1.0,1.0,1.0
1142,2001,466325,5.0,3.0,1.0,2.0,1.0
1151,2001,466334,5.0,2.0,1.0,1.0,1.0
1155,2001,466338,5.0,1.0,1.0,1.0,1.0
1160,2001,466343,5.0,3.0,1.0,1.0,1.0
1173,2001,466356,5.0,1.0,1.0,1.0,1.0
1220,2001,466403,5.0,2.0,1.0,1.0,1.0
1226,2001,466409,5.0,2.0,1.0,2.0,1.0
1233,2001,466416,5.0,2.0,1.0,1.0,1.0
1248,2001,466431,5.0,2.0,1.0,2.0,1.0
1278,2001,466461,5.0,2.0,1.0,1.0,1.0
1279,2001,466462,5.0,2.0,1.0,1.0,1.0
1313,2001,466496,5.0,2.0,1.0,1.0,1.0
1326,2001,466509,5.0,1.0,1.0,1.0,1.0
1330,2001,466513,5.0,2.0,1.0,1.0,1.0
1355,2001,466538,5.0,3.0,1.0,2.0,1.0
1363,2001,466546,5.0,3.0,1.0,2.0,1.0
1370,2001,466553,5.0,2.0,2.0,1.0,1.0
1412,2001,749154,6.0,3.0,1.0,1.0,1.0
1424,2001,749166,6.0,4.0,2.0,2.0,1.0
1435,2001,749177,6.0,2.0,1.0,1.0,1.0
1436,2001,749178,6.0,3.0,1.0,1.0,1.0
1445,2001,749187,6.0,2.0,1.0,1.0,1.0
1447,2001,749189,6.0,2.0,1.0,1.0,1.0
1451,2001,749193,6.0,3.0,2.0,1.0,1.0
1468,2001,749210,6.0,4.0,1.0,1.0,1.0
1490,2001,749232,6.0,3.0,1.0,1.0,1.0
1499,2001,749241,6.0,3.0,1.0,1.0,1.0
1502,2001,749244,6.0,3.0,1.0,1.0,1.0
1538,2001,749280,6.0,4.0,1.0,1.0,1.0
1556,2001,749298,6.0,3.0,1.0,2.0,1.0
1595,2001,749337,6.0,4.0,1.0,1.0,1.0
1651,2001,749393,6.0,3.0,1.0,1.0,1.0
1655,2001,749397,6.0,3.0,2.0,2.0,1.0
1658,2001,749400,6.0,2.0,2.0,1.0,1.0
1675,2001,749417,6.0,2.0,2.0,2.0,1.0
1718,2001,749460,6.0,3.0,1.0,1.0,1.0
1734,2001,749476,6.0,3.0,1.0,1.0,1.0
1792,2001,749534,6.0,3.0,1.0,2.0,1.0
1804,2001,749546,6.0,2.0,1.0,1.0,1.0
1811,2001,749553,6.0,2.0,1.0,1.0,1.0
1817,2001,991037,7.0,3.0,1.0,1.0,1.0
1854,2001,991074,7.0,4.0,2.0,2.0,1.0
1936,2001,991156,7.0,3.0,1.0,1.0,1.0
1941,2001,991161,7.0,4.0,1.0,2.0,1.0
1957,2001,991177,7.0,3.0,1.0,1.0,1.0
1967,2001,991187,7.0,4.0,1.0,1.0,1.0
1972,2001,991192,7.0,4.0,1.0,1.0,1.0
1981,2001,991201,7.0,4.0,2.0,1.0,1.0
1986,2001,991206,7.0,4.0,2.0,2.0,1.0
2024,2001,991244,7.0,4.0,1.0,1.0,1.0
2055,2001,991275,7.0,4.0,1.0,1.0,1.0
2057,2001,991277,7.0,4.0,2.0,2.0,1.0
2077,2001,991297,7.0,3.0,1.0,1.0,1.0
2096,2001,991316,7.0,4.0,1.0,1.0,1.0
2136,2001,991356,7.0,3.0,1.0,1.0,1.0
2140,2001,1118129,1.0,4.0,1.0,2.0,1.0
2144,2001,1118133,1.0,1.0,1.0,1.0,1.0
2164,2001,1121326,2.0,1.0,1.0,1.0,1.0
2168,2001,1139525,3.0,1.0,1.0,1.0,1.0
2177,2001,1139534,3.0,1.0,1.0,1.0,1.0
2189,2001,1139546,3.0,1.0,1.0,1.0,1.0
2214,2001,1139571,3.0,1.0,1.0,1.0,1.0
2216,2001,1139573,3.0,1.0,1.0,1.0,1.0
2217,2001,1139574,3.0,1.0,1.0,1.0,1.0
2219,2001,1139576,3.0,1.0,1.0,1.0,1.0
2278,2001,1139635,3.0,1.0,1.0,2.0,1.0
2301,2001,1139658,3.0,1.0,1.0,1.0,1.0
2304,2001,1139661,3.0,1.0,1.0,1.0,1.0
2337,2001,1139694,3.0,1.0,1.0,1.0,1.0
2346,2001,1139703,3.0,1.0,1.0,1.0,1.0
2352,2001,1315147,4.0,2.0,1.0,1.0,1.0
2353,2001,1315148,4.0,1.0,1.0,1.0,1.0
2357,2001,1315152,4.0,1.0,1.0,1.0,1.0
2362,2001,1315157,4.0,1.0,1.0,1.0,1.0
2365,2001,1315160,4.0,1.0,1.0,1.0,1.0
2369,2001,1315164,4.0,1.0,1.0,1.0,1.0
2381,2001,1315176,4.0,1.0,1.0,2.0,1.0
2385,2001,1315180,4.0,1.0,1.0,1.0,1.0
2393,2001,1315188,4.0,1.0,1.0,1.0,1.0
2394,2001,1315189,4.0,1.0,1.0,1.0,1.0
2402,2001,1315197,4.0,1.0,1.0,1.0,1.0
2407,2001,1315202,4.0,1.0,1.0,1.0,1.0
2424,2001,1315219,4.0,1.0,1.0,1.0,1.0
2432,2001,1315227,4.0,1.0,1.0,1.0,1.0
