,year,record,age,grade,consideration,plan,attempt
51,2013,86363,4.0,2.0,1.0,1.0,1.0
94,2013,86406,3.0,2.0,2.0,2.0,1.0
138,2013,86450,4.0,2.0,1.0,2.0,1.0
142,2013,86454,4.0,2.0,1.0,1.0,1.0
164,2013,86476,3.0,2.0,1.0,2.0,1.0
176,2013,86488,4.0,2.0,1.0,1.0,1.0
202,2013,86514,2.0,1.0,1.0,1.0,1.0
238,2013,86550,4.0,2.0,1.0,2.0,1.0
260,2013,86572,4.0,2.0,1.0,1.0,1.0
283,2013,86595,5.0,3.0,1.0,1.0,1.0
310,2013,86622,5.0,3.0,1.0,2.0,1.0
319,2013,86631,5.0,3.0,1.0,1.0,1.0
321,2013,86633,6.0,2.0,1.0,1.0,1.0
326,2013,86638,4.0,2.0,1.0,1.0,1.0
360,2013,86672,2.0,1.0,1.0,1.0,1.0
369,2013,86681,4.0,1.0,1.0,1.0,1.0
385,2013,86697,4.0,3.0,1.0,1.0,1.0
387,2013,86699,5.0,3.0,1.0,1.0,1.0
393,2013,86705,4.0,2.0,1.0,1.0,1.0
398,2013,86710,4.0,3.0,1.0,1.0,1.0
406,2013,86718,4.0,3.0,1.0,2.0,1.0
431,2013,86743,4.0,3.0,1.0,2.0,1.0
458,2013,86770,6.0,3.0,1.0,1.0,1.0
482,2013,86794,6.0,2.0,1.0,1.0,1.0
550,2013,86862,4.0,2.0,1.0,1.0,1.0
551,2013,86863,3.0,2.0,2.0,2.0,1.0
553,2013,86865,4.0,2.0,1.0,1.0,1.0
589,2013,86901,6.0,3.0,1.0,2.0,1.0
596,2013,86908,3.0,1.0,1.0,1.0,1.0
599,2013,86911,2.0,1.0,1.0,1.0,1.0
616,2013,86928,3.0,2.0,1.0,1.0,1.0
629,2013,86941,5.0,2.0,1.0,1.0,1.0
639,2013,86951,3.0,2.0,2.0,2.0,1.0
654,2013,86966,3.0,1.0,2.0,2.0,1.0
673,2013,86985,4.0,2.0,1.0,1.0,1.0
683,2013,86995,3.0,2.0,1.0,1.0,1.0
696,2013,87008,4.0,2.0,1.0,1.0,1.0
716,2013,87028,4.0,2.0,1.0,1.0,1.0
723,2013,87035,4.0,3.0,1.0,1.0,1.0
728,2013,87040,6.0,3.0,2.0,2.0,1.0
732,2013,87044,3.0,1.0,1.0,1.0,1.0
760,2013,87072,4.0,3.0,1.0,1.0,1.0
767,2013,87079,5.0,2.0,2.0,2.0,1.0
778,2013,87090,1.0,4.0,1.0,1.0,1.0
784,2013,87096,5.0,3.0,1.0,1.0,1.0
834,2013,87146,4.0,3.0,1.0,1.0,1.0
863,2013,87175,2.0,1.0,1.0,1.0,1.0
874,2013,87186,4.0,3.0,1.0,1.0,1.0
880,2013,87192,3.0,1.0,1.0,2.0,1.0
898,2013,87210,5.0,3.0,1.0,1.0,1.0
973,2013,87285,4.0,2.0,1.0,1.0,1.0
1007,2013,87319,5.0,3.0,1.0,2.0,1.0
1015,2013,87327,2.0,1.0,1.0,1.0,1.0
1020,2013,87332,6.0,3.0,1.0,1.0,1.0
1036,2013,87348,4.0,3.0,1.0,1.0,1.0
1039,2013,87351,4.0,3.0,1.0,2.0,1.0
1044,2013,87356,4.0,3.0,1.0,1.0,1.0
1047,2013,87359,5.0,3.0,1.0,1.0,1.0
1063,2013,87375,3.0,1.0,1.0,1.0,1.0
1081,2013,87393,4.0,3.0,1.0,1.0,1.0
1104,2013,87416,7.0,1.0,1.0,1.0,1.0
1145,2013,87457,4.0,3.0,1.0,2.0,1.0
1201,2013,87513,4.0,3.0,1.0,2.0,1.0
1228,2013,87540,3.0,2.0,1.0,2.0,1.0
1234,2013,87546,5.0,3.0,1.0,1.0,1.0
1274,2013,87586,6.0,3.0,1.0,1.0,1.0
1288,2013,87600,5.0,3.0,1.0,1.0,1.0
1293,2013,87605,6.0,3.0,1.0,1.0,1.0
1300,2013,87612,3.0,1.0,1.0,1.0,1.0
1326,2013,87638,4.0,2.0,1.0,1.0,1.0
1341,2013,87653,4.0,2.0,2.0,2.0,1.0
1358,2013,87670,3.0,2.0,1.0,1.0,1.0
1365,2013,87677,2.0,1.0,1.0,2.0,1.0
1369,2013,87681,3.0,1.0,1.0,1.0,1.0
1394,2013,87706,2.0,1.0,1.0,1.0,1.0
1405,2013,87717,3.0,2.0,1.0,1.0,1.0
1422,2013,87734,4.0,2.0,1.0,1.0,1.0
1492,2013,87804,4.0,2.0,1.0,1.0,1.0
1496,2013,87808,3.0,2.0,1.0,1.0,1.0
1532,2013,87844,2.0,1.0,1.0,1.0,1.0
1559,2013,87871,6.0,3.0,1.0,1.0,1.0
1572,2013,87884,4.0,1.0,1.0,1.0,1.0
1578,2013,87890,4.0,1.0,1.0,1.0,1.0
1612,2013,87924,6.0,3.0,1.0,1.0,1.0
1625,2013,87937,5.0,3.0,1.0,1.0,1.0
1635,2013,87947,5.0,3.0,1.0,1.0,1.0
1650,2013,87962,5.0,3.0,1.0,1.0,1.0
1664,2013,87976,5.0,2.0,1.0,1.0,1.0
1665,2013,87977,4.0,2.0,1.0,1.0,1.0
1693,2013,88005,4.0,2.0,1.0,2.0,1.0
1720,2013,88032,5.0,2.0,1.0,1.0,1.0
1722,2013,88034,5.0,3.0,1.0,1.0,1.0
1745,2013,88057,4.0,2.0,1.0,2.0,1.0
1752,2013,88064,4.0,3.0,1.0,1.0,1.0
1804,2013,88116,4.0,3.0,1.0,1.0,1.0
1858,2013,88170,3.0,2.0,1.0,2.0,1.0
1890,2013,88202,5.0,3.0,1.0,1.0,1.0
1894,2013,88206,4.0,2.0,1.0,2.0,1.0
1926,2013,88238,5.0,3.0,1.0,2.0,1.0
1946,2013,88258,7.0,3.0,1.0,1.0,1.0
1968,2013,88280,2.0,1.0,1.0,1.0,1.0
2011,2013,88323,4.0,1.0,1.0,2.0,1.0
2047,2013,88359,3.0,1.0,1.0,2.0,1.0
2052,2013,88364,4.0,2.0,1.0,1.0,1.0
2056,2013,88368,3.0,1.0,1.0,1.0,1.0
2061,2013,88373,4.0,3.0,1.0,1.0,1.0
2091,2013,88403,4.0,3.0,1.0,2.0,1.0
2099,2013,88411,5.0,3.0,1.0,2.0,1.0
2117,2013,88429,3.0,1.0,1.0,1.0,1.0
2127,2013,88439,2.0,2.0,1.0,1.0,1.0
2138,2013,88450,4.0,3.0,2.0,1.0,1.0
2153,2013,88465,4.0,3.0,1.0,1.0,1.0
2160,2013,88472,4.0,2.0,1.0,1.0,1.0
2163,2013,88475,5.0,1.0,1.0,1.0,1.0
2169,2013,88481,3.0,1.0,1.0,1.0,1.0
2177,2013,88489,4.0,3.0,1.0,1.0,1.0
2202,2013,88514,4.0,2.0,1.0,2.0,1.0
2206,2013,88518,4.0,2.0,1.0,1.0,1.0
2225,2013,88537,3.0,2.0,1.0,1.0,1.0
2243,2013,88555,3.0,1.0,2.0,2.0,1.0
2285,2013,88597,4.0,2.0,1.0,1.0,1.0
2301,2013,88613,5.0,3.0,1.0,1.0,1.0
2313,2013,88625,5.0,3.0,1.0,1.0,1.0
2340,2013,88652,5.0,3.0,1.0,1.0,1.0
2347,2013,88659,5.0,3.0,1.0,1.0,1.0
2381,2013,88693,4.0,3.0,1.0,2.0,1.0
2393,2013,88705,4.0,1.0,1.0,1.0,1.0
2462,2013,88774,3.0,2.0,2.0,2.0,1.0
2479,2013,88791,5.0,2.0,1.0,1.0,1.0
2527,2013,88839,4.0,2.0,1.0,1.0,1.0
2572,2013,88884,5.0,3.0,1.0,1.0,1.0
2628,2013,88940,5.0,3.0,1.0,1.0,1.0
2646,2013,88958,7.0,1.0,1.0,1.0,1.0
2658,2013,88970,2.0,1.0,1.0,1.0,1.0
2678,2013,88990,3.0,2.0,1.0,1.0,1.0
2680,2013,88992,4.0,2.0,1.0,1.0,1.0
2693,2013,89005,5.0,3.0,1.0,1.0,1.0
2719,2013,89031,5.0,3.0,1.0,1.0,1.0
2737,2013,89049,4.0,2.0,1.0,1.0,1.0
2748,2013,89060,4.0,2.0,1.0,1.0,1.0
2758,2013,89070,4.0,2.0,1.0,1.0,1.0
2761,2013,89073,5.0,3.0,1.0,1.0,1.0
2782,2013,89094,3.0,1.0,1.0,2.0,1.0
2806,2013,89118,3.0,2.0,1.0,2.0,1.0
2811,2013,89123,5.0,3.0,1.0,1.0,1.0
2828,2013,89140,5.0,3.0,1.0,1.0,1.0
2837,2013,89149,1.0,1.0,1.0,1.0,1.0
2854,2013,89166,3.0,1.0,2.0,2.0,1.0
2862,2013,89174,4.0,3.0,2.0,1.0,1.0
2865,2013,89177,2.0,1.0,1.0,2.0,1.0
2887,2013,89199,4.0,1.0,1.0,1.0,1.0
2889,2013,89201,5.0,3.0,1.0,1.0,1.0
2894,2013,89206,4.0,2.0,1.0,1.0,1.0
2922,2013,89234,1.0,3.0,1.0,1.0,1.0
2927,2013,89239,6.0,3.0,1.0,2.0,1.0
2964,2013,89276,5.0,3.0,1.0,1.0,1.0
2969,2013,89281,4.0,3.0,1.0,2.0,1.0
2973,2013,89285,4.0,2.0,1.0,2.0,1.0
2974,2013,89286,2.0,1.0,1.0,1.0,1.0
2996,2013,89308,2.0,1.0,1.0,1.0,1.0
3015,2013,89327,3.0,1.0,1.0,1.0,1.0
3017,2013,89329,5.0,3.0,1.0,2.0,1.0
3027,2013,89339,4.0,3.0,1.0,1.0,1.0
3030,2013,89342,1.0,1.0,1.0,1.0,1.0
3039,2013,89351,5.0,2.0,1.0,1.0,1.0
3055,2013,89367,4.0,2.0,1.0,1.0,1.0
3059,2013,89371,4.0,2.0,1.0,2.0,1.0
3064,2013,89376,4.0,3.0,1.0,1.0,1.0
3070,2013,89382,4.0,3.0,1.0,1.0,1.0
3073,2013,89385,5.0,3.0,1.0,1.0,1.0
3076,2013,89388,5.0,2.0,1.0,1.0,1.0
3086,2013,89398,3.0,1.0,1.0,2.0,1.0
3089,2013,89401,4.0,2.0,1.0,1.0,1.0
3097,2013,89409,5.0,2.0,1.0,1.0,1.0
3136,2013,89448,3.0,1.0,1.0,2.0,1.0
3159,2013,89471,6.0,3.0,2.0,1.0,1.0
3177,2013,89489,4.0,3.0,1.0,2.0,1.0
3179,2013,89491,4.0,3.0,2.0,1.0,1.0
3199,2013,89511,4.0,2.0,2.0,2.0,1.0
3205,2013,89517,3.0,2.0,1.0,1.0,1.0
3272,2013,89584,4.0,3.0,1.0,1.0,1.0
3273,2013,89585,4.0,2.0,1.0,1.0,1.0
3295,2013,89607,4.0,2.0,1.0,1.0,1.0
3301,2013,89613,4.0,3.0,1.0,1.0,1.0
3304,2013,89616,4.0,2.0,1.0,2.0,1.0
3307,2013,89619,6.0,3.0,1.0,1.0,1.0
3321,2013,89633,3.0,1.0,2.0,2.0,1.0
3329,2013,89641,2.0,1.0,1.0,1.0,1.0
3334,2013,89646,3.0,1.0,2.0,2.0,1.0
3358,2013,89670,3.0,1.0,1.0,1.0,1.0
3359,2013,89671,5.0,3.0,1.0,1.0,1.0
3368,2013,89680,4.0,3.0,1.0,2.0,1.0
3385,2013,89697,5.0,3.0,1.0,1.0,1.0
3398,2013,89710,3.0,1.0,1.0,2.0,1.0
3404,2013,89716,4.0,3.0,2.0,1.0,1.0
3458,2013,89770,3.0,2.0,1.0,1.0,1.0
3489,2013,89801,2.0,1.0,1.0,1.0,1.0
3500,2013,89812,3.0,1.0,2.0,2.0,1.0
3524,2013,89836,4.0,3.0,1.0,1.0,1.0
3532,2013,89844,5.0,3.0,1.0,1.0,1.0
3549,2013,89861,5.0,3.0,1.0,1.0,1.0
3575,2013,89887,6.0,3.0,1.0,2.0,1.0
3596,2013,89908,4.0,3.0,1.0,2.0,1.0
3638,2013,89950,5.0,3.0,1.0,1.0,1.0
3651,2013,89963,6.0,3.0,1.0,1.0,1.0
3659,2013,89971,5.0,3.0,1.0,1.0,1.0
3683,2013,89995,5.0,3.0,1.0,1.0,1.0
3703,2013,90015,3.0,2.0,1.0,1.0,1.0
3710,2013,90022,5.0,3.0,1.0,1.0,1.0
