County,Years,Population
Alachua,2020,271588
Baker,2020,28532
Bay,2020,174410
Bradford,2020,28725
Brevard,2020,606671
Broward,2020,1932212
Calhoun,2020,14489
Charlotte,2020,187904
Citrus,2020,149383
Clay,2020,219575
Collier,2020,387450
Columbia,2020,70617
DeSoto,2020,37082
Dixie,2020,16663
Duval,2020,982080
Escambia,2020,323714
Flagler,2020,114173
Franklin,2020,11864
Gadsden,2020,46226
Gilchrist,2020,18269
Glades,2020,13609
Gulf,2020,14724
Hamilton,2020,14570
Hardee,2020,27443
Hendry,2020,40953
Hernando,2020,192186
Highlands,2020,104834
Hillsborough,2020,1478759
Holmes,2020,20001
Indian River,2020,158834
Jackson,2020,46587
Jefferson,2020,14394
Lafayette,2020,8690
Lake,2020,366742
Lee,2020,750493
Leon,2020,299484
Levy,2020,41699
Liberty,2020,8575
Madison,2020,18954
Manatee,2020,398503
Marion,2020,368135
Martin,2020,161301
Miami-Dade,2020,2832794
Monroe,2020,77823
Nassau,2020,89258
Okaloosa,2020,203951
Okeechobee,2020,42112
Orange,2020,1415260
Osceola,2020,387055
Palm Beach,2020,1466494
Pasco,2020,542638
Pinellas,2020,984054
Polk,2020,715090
Putnam,2020,73723
Santa Rosa,2020,184653
Sarasota,2020,438816
Seminole,2020,476727
St. Johns,2020,261900
St. Lucie,2020,322265
Sumter,2020,141422
Suwannee,2020,45463
Taylor,2020,22436
Union,2020,15410
Volusia,2020,551588
Wakulla,2020,33981
Walton,2020,74724
Washington,2020,25334
Florida Total,2020,21596068
Alachua,2019,267306
Baker,2019,28249
Bay,2019,167283
Bradford,2019,28682
Brevard,2019,594469
Broward,2019,1919644
Calhoun,2019,14067
Charlotte,2019,181770
Citrus,2019,147744
Clay,2019,215246
Collier,2019,376706
Columbia,2019,70492
DeSoto,2019,36065
Dixie,2019,16610
Duval,2019,970672
Escambia,2019,321134
Flagler,2019,110635
Franklin,2019,12273
Gadsden,2019,46277
Gilchrist,2019,17766
Glades,2019,13121
Gulf,2019,13082
Hamilton,2019,14600
Hardee,2019,27385
Hendry,2019,40120
Hernando,2019,188358
Highlands,2019,103434
Hillsborough,2019,1444870
Holmes,2019,20049
Indian River,2019,154939
Jackson,2019,46969
Jefferson,2019,14776
Lafayette,2019,8482
Lake,2019,357247
Lee,2019,735148
Leon,2019,296499
Levy,2019,41330
Liberty,2019,8772
Madison,2019,19570
Manatee,2019,387414
Marion,2019,360421
Martin,2019,158598
Miami-Dade,2019,2812130
Monroe,2019,76212
Nassau,2019,85070
Okaloosa,2019,201514
Okeechobee,2019,41808
Orange,2019,1386080
Osceola,2019,370552
Palm Beach,2019,1447857
Pasco,2019,527122
Pinellas,2019,978045
Polk,2019,690606
Putnam,2019,73268
Santa Rosa,2019,179054
Sarasota,2019,426275
Seminole,2019,471735
St. Johns,2019,254412
St. Lucie,2019,309359
Sumter,2019,128633
Suwannee,2019,45423
Taylor,2019,22458
Union,2019,15505
Volusia,2019,538763
Wakulla,2019,32976
Walton,2019,70071
Washington,2019,25387
Florida Total,2019,21208589
Alachua,2018,263291
Baker,2018,27652
Bay,2018,181199
Bradford,2018,28057
Brevard,2018,583563
Broward,2018,1897976
Calhoun,2018,15093
Charlotte,2018,177987
Citrus,2018,145721
Clay,2018,212034
Collier,2018,367347
Columbia,2018,69721
DeSoto,2018,35520
Dixie,2018,16489
Duval,2018,952861
Escambia,2018,318560
Flagler,2018,107511
Franklin,2018,12009
Gadsden,2018,47828
Gilchrist,2018,17424
Glades,2018,13002
Gulf,2018,16499
Hamilton,2018,14621
Hardee,2018,27296
Hendry,2018,39586
Hernando,2018,185604
Highlands,2018,102525
Hillsborough,2018,1408864
Holmes,2018,20133
Indian River,2018,151825
Jackson,2018,50435
Jefferson,2018,14733
Lafayette,2018,8501
Lake,2018,342917
Lee,2018,713903
Leon,2018,292332
Levy,2018,41054
Liberty,2018,8915
Madison,2018,19473
Manatee,2018,377826
Marion,2018,353898
Martin,2018,155556
