County,Years,Dollars ($)
Florida,2019,55660
Alachua,2019,49689
Baker,2019,63275
Bay,2019,54316
Bradford,2019,45921
Brevard,2019,56775
Broward,2019,59547
Calhoun,2019,38568
Charlotte,2019,51499
Citrus,2019,44237
Clay,2019,65740
Collier,2019,69653
Columbia,2019,46494
Miami-Dade,2019,51347
DeSoto,2019,35438
Dixie,2019,39828
Duval,2019,55807
Escambia,2019,50915
Flagler,2019,54514
Franklin,2019,46643
Gadsden,2019,41401
Gilchrist,2019,43640
Glades,2019,40977
Gulf,2019,47712
Hamilton,2019,38569
Hardee,2019,38682
Hendry,2019,40820
Hernando,2019,48812
Highlands,2019,40942
Hillsborough,2019,58884
Holmes,2019,39102
Indian River,2019,54740
Jackson,2019,39872
Jefferson,2019,47240
Lafayette,2019,50165
Lake,2019,54513
Lee,2019,57832
Leon,2019,53106
Levy,2019,37326
Liberty,2019,38015
Madison,2019,37037
Manatee,2019,59009
Marion,2019,45371
Martin,2019,61133
Monroe,2019,70033
Nassau,2019,69943
Okaloosa,2019,63412
Okeechobee,2019,41760
Orange,2019,58254
Osceola,2019,52279
Palm Beach,2019,63299
Pasco,2019,52828
Pinellas,2019,54090
Polk,2019,50584
Putnam,2019,37670
St. Johns,2019,82252
St. Lucie,2019,52322
Santa Rosa,2019,67949
Sarasota,2019,62236
Seminole,2019,66768
Sumter,2019,57226
Suwannee,2019,47839
Taylor,2019,40306
Union,2019,44270
Volusia,2019,49494
Wakulla,2019,61410
Walton,2019,58093
Washington,2019,37022
Florida,2018,53267
Alachua,2018,49078
Baker,2018,61769
Bay,2018,51829
Bradford,2018,46197
Brevard,2018,54359
Broward,2018,57333
Calhoun,2018,38609
Charlotte,2018,49225
Citrus,2018,41424
Clay,2018,62653
Collier,2018,65675
Columbia,2018,44491
Miami-Dade,2018,48982
DeSoto,2018,35057
Dixie,2018,38237
Duval,2018,53473
Escambia,2018,49286
Flagler,2018,53872
Franklin,2018,42855
Gadsden,2018,40922
Gilchrist,2018,42357
Glades,2018,39879
Gulf,2018,44291
Hamilton,2018,34583
Hardee,2018,37594
Hendry,2018,40728
Hernando,2018,46030
Highlands,2018,37314
Hillsborough,2018,56137
Holmes,2018,38608
Indian River,2018,52336
Jackson,2018,39002
Jefferson,2018,48173
Lafayette,2018,39543
Lake,2018,51884
Lee,2018,54691
Leon,2018,51201
Levy,2018,37634
Liberty,2018,37363
Madison,2018,35509
Manatee,2018,56036
Marion,2018,43361
Martin,2018,57959
Monroe,2018,67023
Nassau,2018,66297
Okaloosa,2018,62048
Okeechobee,2018,40367
Orange,2018,54335
Osceola,2018,50063
Palm Beach,2018,59943
Pasco,2018,50417
Pinellas,2018,51454
Polk,2018,48500
Putnam,2018,35649
St. Johns,2018,77323
St. Lucie,2018,49373
Santa Rosa,2018,66242
Sarasota,2018,58644
Seminole,2018,63760
Sumter,2018,55228
Suwannee,2018,42686
Taylor,2018,36934
Union,2018,41770
Volusia,2018,46760
Wakulla,2018,62778
Walton,2018,53785
Washington,2018,37188
Florida,2017,50883
Alachua,2017,45478
Baker,2017,59506
Bay,2017,50283
Bradford,2017,46106
Brevard,2017,51536
Broward,2017,54895
Calhoun,2017,36237
Charlotte,2017,46511
Citrus,2017,40574
Clay,2017,61971
Collier,2017,62407
Columbia,2017,43504
Miami-Dade,2017,46338
DeSoto,2017,35435
Dixie,2017,35910
Duval,2017,51296
Escambia,2017,47361
Flagler,2017,51049
Franklin,2017,41267
Gadsden,2017,39830
Gilchrist,2017,42934
Glades,2017,37385
Gulf,2017,44647
Hamilton,2017,36209
Hardee,2017,39063
Hendry,2017,37966
Hernando,2017,44324
Highlands,2017,36374
Hillsborough,2017,53742
Holmes,2017,37474
Indian River,2017,49009
Jackson,2017,36944
Jefferson,2017,47599
Lafayette,2017,41512
Lake,2017,49734
Lee,2017,52052
Leon,2017,49941
Levy,2017,36554
Liberty,2017,36741
Madison,2017,31816
Manatee,2017,53408
Marion,2017,41964
Martin,2017,55588
Monroe,2017,63030
Nassau,2017,64294
Okaloosa,2017,59955
Okeechobee,2017,39059
Orange,2017,51586
Osceola,2017,47343
Palm Beach,2017,57256
Pasco,2017,48289
Pinellas,2017,48968
Polk,2017,45988
Putnam,2017,33619
St. Johns,2017,73640
St. Lucie,2017,47132
Santa Rosa,2017,62731
Sarasota,2017,55236
Seminole,2017,60739
Sumter,2017,54771
Suwannee,2017,40600
Taylor,2017,37188
Union,2017,37460
Volusia,2017,43838
Wakulla,2017,57866
Walton,2017,50619
Washington,2017,36989
Florida,2016,48900
Alachua,2016,44702
Baker,2016,53327
Bay,2016,48577
Bradford,2016,43373
Brevard,2016,49914
Broward,2016,52954
Calhoun,2016,37089
Charlotte,2016,44865
Citrus,2016,39054
Clay,2016,59179
Collier,2016,59783
Columbia,2016,42848
Miami-Dade,2016,44224
DeSoto,2016,35513
Dixie,2016,34634
Duval,2016,49196
Escambia,2016,46117
Flagler,2016,48898
Franklin,2016,40301
Gadsden,2016,38533
Gilchrist,2016,40881
Glades,2016,34143
Gulf,2016,40822
Hamilton,2016,38980
Hardee,2016,36222
Hendry,2016,37552
Hernando,2016,42274
Highlands,2016,35865
Hillsborough,2016,51681
Holmes,2016,37437
Indian River,2016,47446
Jackson,2016,35470
Jefferson,2016,41696
Lafayette,2016,36236
Lake,2016,47141
Lee,2016,50390
Leon,2016,48248
Levy,2016,35480
Liberty,2016,37917
Madison,2016,29806
Manatee,2016,51483
Marion,2016,40295
Martin,2016,52622
Monroe,2016,60303
Nassau,2016,59196
Okaloosa,2016,57655
Okeechobee,2016,36415
Orange,2016,49391
Osceola,2016,45536
Palm Beach,2016,55277
Pasco,2016,46010
Pinellas,2016,47090
Polk,2016,44146
Putnam,2016,33003
St. Johns,2016,69523
St. Lucie,2016,44140
Santa Rosa,2016,60652
Sarasota,2016,52796
Seminole,2016,58538
Sumter,2016,52594
Suwannee,2016,37796
Taylor,2016,36195
Union,2016,37778
Volusia,2016,42240
Wakulla,2016,54078
Walton,2016,46910
Washington,2016,38330
Florida,2015,47507
Alachua,2015,43073
Baker,2015,47121
Bay,2015,47368
Bradford,2015,41606
Brevard,2015,48925
Broward,2015,51968
Calhoun,2015,34510
Charlotte,2015,44244
Citrus,2015,38312
Clay,2015,58290
Collier,2015,57452
Columbia,2015,41926
Miami-Dade,2015,43129
DeSoto,2015,35165
Dixie,2015,36292
Duval,2015,47690
Escambia,2015,45390
Flagler,2015,47866
Franklin,2015,40401
Gadsden,2015,35567
Gilchrist,2015,40623
Glades,2015,34877
Gulf,2015,41788
Hamilton,2015,35048
Hardee,2015,35457
Hendry,2015,36771
Hernando,2015,40945
Highlands,2015,35093
Hillsborough,2015,50579
Holmes,2015,35020
Indian River,2015,45798
Jackson,2015,35098
Jefferson,2015,43355
Lafayette,2015,35864
Lake,2015,46403
Lee,2015,48537
Leon,2015,46745
Levy,2015,35782
Liberty,2015,39406
Madison,2015,32164
Manatee,2015,49675
Marion,2015,39459
Martin,2015,51593
Monroe,2015,57290
Nassau,2015,54116
Okaloosa,2015,55880
Okeechobee,2015,35405
Orange,2015,47943
Osceola,2015,44254
Palm Beach,2015,53363
Pasco,2015,45064
Pinellas,2015,45819
Polk,2015,43162
Putnam,2015,31715
St. Johns,2015,66194
St. Lucie,2015,43459
Santa Rosa,2015,58923
Sarasota,2015,51766
Seminole,2015,57010
Sumter,2015,50350
Suwannee,2015,36289
Taylor,2015,36181
Union,2015,39163
Volusia,2015,41117
Wakulla,2015,50340
Walton,2015,44966
Washington,2015,38970
Florida,2014,47212
Alachua,2014,42045
Baker,2014,46865
Bay,2014,47274
Bradford,2014,40481
Brevard,2014,48483
Broward,2014,51574
Calhoun,2014,34053
Charlotte,2014,44265
Citrus,2014,38109
Clay,2014,59103
Collier,2014,56250
Columbia,2014,39194
Miami-Dade,2014,43099
DeSoto,2014,36114
Dixie,2014,35000
Duval,2014,47582
Escambia,2014,44883
Flagler,2014,47733
Franklin,2014,37815
Gadsden,2014,36146
Gilchrist,2014,40984
Glades,2014,33609
Gulf,2014,40964
Hamilton,2014,35629
Hardee,2014,36094
Hendry,2014,36504
Hernando,2014,40457
Highlands,2014,35911
Hillsborough,2014,50122
Holmes,2014,36236
Indian River,2014,44645
Jackson,2014,36310
Jefferson,2014,42866
Lafayette,2014,35720
