County,Years,Death Count
Alachua,2011,"1,723"
Baker,2011,222
Bay,2011,"1,559"
Bradford,2011,268
Brevard,2011,"6,117"
Broward,2011,"14,123"
Calhoun,2011,160
Charlotte,2011,"2,261"
Citrus,2011,"2,308"
Clay,2011,"1,486"
Collier,2011,"2,871"
Columbia,2011,742
Miami-Dade,2011,"17,992"
Desoto,2011,299
Dixie,2011,200
Duval,2011,"7,254"
Escambia,2011,"2,964"
Flagler,2011,"1,055"
Franklin,2011,119
Gadsden,2011,458
Gilchrist,2011,177
Glades,2011,97
Gulf,2011,156
Hamilton,2011,128
Hardee,2011,200
Hendry,2011,247
Hernando,2011,"2,491"
Highlands,2011,"1,339"
Hillsborough,2011,"9,056"
Holmes,2011,232
Indian River,2011,"1,751"
Jackson,2011,577
Jefferson,2011,173
Lafayette,2011,78
Lake,2011,"3,337"
Lee,2011,"6,012"
Leon,2011,"1,619"
Levy,2011,522
Liberty,2011,71
Madison,2011,214
Manatee,2011,"3,452"
Marion,2011,"4,423"
Martin,2011,"1,674"
Monroe,2011,628
Nassau,2011,694
Okaloosa,2011,"1,531"
Okeechobee,2011,376
Orange,2011,"6,716"
Osceola,2011,"1,686"
Palm Beach,2011,"12,941"
Pasco,2011,"5,456"
Pinellas,2011,"11,107"
Polk,2011,"5,781"
Putnam,2011,941
Saint Johns,2011,"1,466"
Saint Lucie,2011,"2,702"
Santa Rosa,2011,"1,282"
Sarasota,2011,"4,913"
Seminole,2011,"2,836"
Sumter,2011,"1,237"
Suwannee,2011,526
Taylor,2011,219
Union,2011,183
Volusia,2011,"6,018"
Wakulla,2011,246
Walton,2011,516
Washington,2011,268
Unknown,2011,380
Alachua,2012,"1,703"
Baker,2012,235
Bay,2012,"1,633"
Bradford,2012,278
Brevard,2012,"6,260"
Broward,2012,"14,299"
Calhoun,2012,139
Charlotte,2012,"2,239"
Citrus,2012,"2,342"
Clay,2012,"1,471"
Collier,2012,"2,917"
Columbia,2012,730
Miami-Dade,2012,"18,580"
Desoto,2012,275
Dixie,2012,198
Duval,2012,"7,266"
Escambia,2012,"3,086"
Flagler,2012,"1,163"
Franklin,2012,117
Gadsden,2012,446
Gilchrist,2012,198
Glades,2012,106
Gulf,2012,205
Hamilton,2012,140
Hardee,2012,195
Hendry,2012,242
Hernando,2012,"2,493"
Highlands,2012,"1,463"
Hillsborough,2012,"9,436"
Holmes,2012,249
Indian River,2012,"1,752"
Jackson,2012,505
Jefferson,2012,139
Lafayette,2012,72
Lake,2012,"3,326"
Lee,2012,"5,946"
Leon,2012,"1,797"
Levy,2012,498
Liberty,2012,60
Madison,2012,219
Manatee,2012,"3,368"
Marion,2012,"4,427"
Martin,2012,"1,703"
Monroe,2012,622
Nassau,2012,654
Okaloosa,2012,"1,545"
Okeechobee,2012,405
Orange,2012,"7,020"
Osceola,2012,"1,791"
