County,Years,Count
Florida,2020,3113
Alachua,2020,33
Baker,2020,4
Bay,2020,41
Bradford,2020,6
Brevard,2020,117
Broward,2020,222
Calhoun,2020,1
Charlotte,2020,37
Citrus,2020,38
Clay,2020,29
Collier,2020,60
Columbia,2020,16
Miami-Dade,2020,215
DeSoto,2020,3
Dixie,2020,5
Duval,2020,158
Escambia,2020,66
Flagler,2020,25
Franklin,2020,0
Gadsden,2020,5
Gilchrist,2020,5
Glades,2020,2
Gulf,2020,4
Hamilton,2020,5
Hardee,2020,2
Hendry,2020,5
Hernando,2020,36
Highlands,2020,22
Hillsborough,2020,187
Holmes,2020,7
Indian River,2020,31
Jackson,2020,12
Jefferson,2020,4
Lafayette,2020,0
Lake,2020,72
Lee,2020,130
Leon,2020,41
Levy,2020,6
Liberty,2020,1
Madison,2020,3
Manatee,2020,67
Marion,2020,85
Martin,2020,29
Monroe,2020,25
Nassau,2020,20
Okaloosa,2020,40
Okeechobee,2020,6
Orange,2020,132
Osceola,2020,37
Palm Beach,2020,171
Pasco,2020,103
Pinellas,2020,175
Polk,2020,94
Putnam,2020,22
St. Johns,2020,46
St. Lucie,2020,40
Santa Rosa,2020,48
Sarasota,2020,78
Seminole,2020,60
Sumter,2020,16
Suwannee,2020,10
Taylor,2020,4
Union,2020,5
Volusia,2020,118
Wakulla,2020,5
Walton,2020,9
Washington,2020,5
Florida,2019,3427
Alachua,2019,31
Baker,2019,5
Bay,2019,35
Bradford,2019,6
Brevard,2019,137
Broward,2019,241
Calhoun,2019,1
Charlotte,2019,50
Citrus,2019,46
Clay,2019,43
Collier,2019,45
Columbia,2019,20
Miami-Dade,2019,268
DeSoto,2019,5
Dixie,2019,4
Duval,2019,177
Escambia,2019,53
Flagler,2019,25
Franklin,2019,3
Gadsden,2019,12
Gilchrist,2019,4
Glades,2019,4
Gulf,2019,7
Hamilton,2019,3
Hardee,2019,4
Hendry,2019,9
Hernando,2019,43
Highlands,2019,27
Hillsborough,2019,216
Holmes,2019,2
Indian River,2019,29
Jackson,2019,5
Jefferson,2019,4
Lafayette,2019,0
Lake,2019,78
Lee,2019,124
Leon,2019,33
Levy,2019,3
Liberty,2019,1
Madison,2019,6
Manatee,2019,76
Marion,2019,79
Martin,2019,32
Monroe,2019,22
Nassau,2019,17
Okaloosa,2019,37
Okeechobee,2019,8
Orange,2019,140
Osceola,2019,52
Palm Beach,2019,229
Pasco,2019,119
Pinellas,2019,189
Polk,2019,129
Putnam,2019,12
St. Johns,2019,53
St. Lucie,2019,47
Santa Rosa,2019,35
Sarasota,2019,86
Seminole,2019,53
Sumter,2019,35
Suwannee,2019,12
Taylor,2019,2
Union,2019,1
Volusia,2019,128
Wakulla,2019,4
Walton,2019,14
Washington,2019,4
Florida,2018,3552
Alachua,2018,42
Baker,2018,5
Bay,2018,51
Bradford,2018,5
Brevard,2018,128
Broward,2018,260
Calhoun,2018,2
Charlotte,2018,35
Citrus,2018,51
Clay,2018,39
Collier,2018,55
Columbia,2018,18
Miami-Dade,2018,278
DeSoto,2018,8
Dixie,2018,3
Duval,2018,164
Escambia,2018,50
Flagler,2018,29
Franklin,2018,2
Gadsden,2018,7
Gilchrist,2018,5
Glades,2018,1
Gulf,2018,3
Hamilton,2018,1
Hardee,2018,5
Hendry,2018,5
Hernando,2018,33
Highlands,2018,29
Hillsborough,2018,217
Holmes,2018,3
Indian River,2018,31
Jackson,2018,11
Jefferson,2018,2
Lafayette,2018,0
Lake,2018,77
Lee,2018,130
Leon,2018,34
Levy,2018,11
Liberty,2018,2
Madison,2018,1
Manatee,2018,70
Marion,2018,91
Martin,2018,40
Monroe,2018,35
Nassau,2018,18
Okaloosa,2018,43
Okeechobee,2018,8
Orange,2018,147
Osceola,2018,42
Palm Beach,2018,247
Pasco,2018,119
Pinellas,2018,219
Polk,2018,103
Putnam,2018,24
St. Johns,2018,56
St. Lucie,2018,55
Santa Rosa,2018,38
Sarasota,2018,104
Seminole,2018,66
Sumter,2018,21
Suwannee,2018,9
Taylor,2018,6
Union,2018,3
Volusia,2018,125
Wakulla,2018,7
Walton,2018,10
Washington,2018,9
Florida,2017,3187
Alachua,2017,32
Baker,2017,2
Bay,2017,44
Bradford,2017,2
Brevard,2017,141
Broward,2017,217
Calhoun,2017,3
Charlotte,2017,31
Citrus,2017,37
Clay,2017,38
Collier,2017,57
Columbia,2017,11
Miami-Dade,2017,241
DeSoto,2017,5
Dixie,2017,2
Duval,2017,155
Escambia,2017,75
Flagler,2017,31
Franklin,2017,2
Gadsden,2017,3
Gilchrist,2017,3
Glades,2017,1
Gulf,2017,0
Hamilton,2017,0
Hardee,2017,1
Hendry,2017,5
Hernando,2017,34
Highlands,2017,27
Hillsborough,2017,191
Holmes,2017,5
Indian River,2017,34
Jackson,2017,9
Jefferson,2017,1
Lafayette,2017,0
Lake,2017,87
Lee,2017,114
Leon,2017,35
Levy,2017,7
Liberty,2017,1
Madison,2017,3
Manatee,2017,67
Marion,2017,81
Martin,2017,26
Monroe,2017,20
Nassau,2017,13
Okaloosa,2017,46
Okeechobee,2017,6
Orange,2017,146
Osceola,2017,44
Palm Beach,2017,199
Pasco,2017,95
