County,Years,Count,Rate
Florida,2020,3113,13.1031885450727
Alachua,2020,33,12.1820549904806
Baker,2020,4,14.9890508452651
Bay,2020,41,22.5762001060134
Bradford,2020,6,20.6755271410424
Brevard,2020,117,16.5950644517994
Broward,2020,222,10.4270062924207
Calhoun,2020,1,6.67518463810931
Charlotte,2020,37,15.6225400712606
Citrus,2020,38,23.8974495697919
Clay,2020,29,13.0301902565269
Collier,2020,60,15.7551911655871
Columbia,2020,16,22.5221542225165
Miami-Dade,2020,215,6.78776398603505
DeSoto,2020,3,10.0434743919886
Dixie,2020,5,27.3518655091782
Duval,2020,158,15.513927520878
Escambia,2020,66,19.2538340909879
Flagler,2020,25,20.8745498246244
Franklin,2020,0,0
Gadsden,2020,5,7.49797094763818
Gilchrist,2020,5,27.0759110486427
Glades,2020,2,14.8527713260099
Gulf,2020,4,21.9824444462666
Hamilton,2020,5,31.0840903539375
Hardee,2020,2,6.24189425548669
Hendry,2020,5,11.9314980860805
Hernando,2020,36,17.874553012151
Highlands,2020,22,25.2134654188184
Hillsborough,2020,187,12.2021005415957
Holmes,2020,7,35.1458215977552
Indian River,2020,31,16.5524350568376
Jackson,2020,12,26.2189420167255
Jefferson,2020,4,29.4668496873462
Lafayette,2020,0,0
Lake,2020,72,17.8124169730461
Lee,2020,130,15.0978297355464
Leon,2020,41,12.6185778941165
Levy,2020,6,15.623530394319
Liberty,2020,1,13.7273269093616
Madison,2020,3,15.2967275321937
Manatee,2020,67,14.2047603776641
Marion,2020,85,21.921267742309
Martin,2020,29,13.8850835533843
Monroe,2020,25,27.2401273755596
Nassau,2020,20,22.668541091782
Okaloosa,2020,40,19.859664921901
Okeechobee,2020,6,15.1787490695566
Orange,2020,132,8.9037644051223
Osceola,2020,37,9.23550499140327
Palm Beach,2020,171,10.3256176649384
Pasco,2020,103,17.3139879983203
Pinellas,2020,175,16.5186783157525
Polk,2020,94,12.8371135079088
Putnam,2020,22,31.5830717882865
St. Johns,2020,46,16.4585376737132
St. Lucie,2020,40,11.1994110572844
Santa Rosa,2020,48,25.8063347097045
Sarasota,2020,78,15.9202073876387
Seminole,2020,60,11.4290115544983
Sumter,2020,16,7.03190165361163
Suwannee,2020,10,19.6003683584799
Taylor,2020,4,13.0037142687446
Union,2020,5,36.554304343006
Volusia,2020,118,19.4746456751127
Wakulla,2020,5,13.3913214621485
Walton,2020,9,11.0440505676167
Washington,2020,5,18.069471813427
Florida,2019,3427,14.4931912942018
Alachua,2019,31,11.9216193025763
Baker,2019,5,16.0740822170511
Bay,2019,35,17.9224439826241
Bradford,2019,6,22.3828635224474
Brevard,2019,137,19.5498531230775
Broward,2019,241,11.222617943622
Calhoun,2019,1,5.14243119266055
Charlotte,2019,50,24.0361027849596
Citrus,2019,46,26.1746208011159
Clay,2019,43,18.139533690176
Collier,2019,45,11.9198449953101
Columbia,2019,20,28.644976711571
Miami-Dade,2019,268,8.58004389772519
DeSoto,2019,5,11.1008568651041
Dixie,2019,4,15.4043646124572
Duval,2019,177,17.3791361933608
Escambia,2019,53,15.5640158193753
Flagler,2019,25,19.3232067610539
Franklin,2019,3,29.8355239687023
Gadsden,2019,12,27.4478016618387
Gilchrist,2019,4,23.0640062406034
Glades,2019,4,34.4424220997833
Gulf,2019,7,36.8037803354834
Hamilton,2019,3,26.1975247775549
Hardee,2019,4,14.0538403550995
Hendry,2019,9,21.1008142232338
Hernando,2019,43,19.9417551487892
Highlands,2019,27,23.2656777949789
Hillsborough,2019,216,14.108245200546
Holmes,2019,2,8.5978821681701
Indian River,2019,29,16.4959546144224
Jackson,2019,5,9.17784020641169
Jefferson,2019,4,18.1916179056843
Lafayette,2019,0,0
Lake,2019,78,19.9586088972118
Lee,2019,124,14.7699404593929
Leon,2019,33,11.1274117398469
Levy,2019,3,6.70182541746867
Liberty,2019,1,10.4283720930233
Madison,2019,6,31.8384253910595
Manatee,2019,76,17.2287129771777
Marion,2019,79,18.9842064168925
Martin,2019,32,15.9779774093591
Monroe,2019,22,24.5345837921137
Nassau,2019,17,20.0210547833851
Okaloosa,2019,37,18.3259775967296
Okeechobee,2019,8,21.9413509946894
Orange,2019,140,9.58759822804735
Osceola,2019,52,13.7692241615498
Palm Beach,2019,229,13.9082768123659
Pasco,2019,119,20.7833019776578
Pinellas,2019,189,16.641015421272
Polk,2019,129,17.3353750942137
Putnam,2019,12,13.8650932386434
St. Johns,2019,53,18.31873778086
St. Lucie,2019,47,13.3706342975304
Santa Rosa,2019,35,18.7703122583186
Sarasota,2019,86,19.0963830552539
Seminole,2019,53,10.4431070772414
Sumter,2019,35,25.4079723619066
Suwannee,2019,12,23.5872707646664
Taylor,2019,2,9.03056323064817
Union,2019,1,6.14277904328018
Volusia,2019,128,21.071739822371
Wakulla,2019,4,9.61368692758634
Walton,2019,14,17.9685742014233
Washington,2019,4,16.1325182157242
Florida,2018,3552,15.3231976307436
Alachua,2018,42,16.5333201432054
Baker,2018,5,18.4138719425601
Bay,2018,51,23.8904868156437
Bradford,2018,5,16.0455824308845
Brevard,2018,128,19.665621117669
Broward,2018,260,12.4980734541804
Calhoun,2018,2,14.2966758010166
Charlotte,2018,35,17.9100820302265
Citrus,2018,51,30.8808146984857
Clay,2018,39,18.0360460477709
Collier,2018,55,12.0060579589741
Columbia,2018,18,23.1340706825392
Miami-Dade,2018,278,9.07397308902538
DeSoto,2018,8,19.9123672732507
Dixie,2018,3,9.70051156956244
Duval,2018,164,16.8542387121448
Escambia,2018,50,15.9393050372761
Flagler,2018,29,24.7736170554593
Franklin,2018,2,11.5924755844713
Gadsden,2018,7,17.1975600267034
Gilchrist,2018,5,20.2305956834236
Glades,2018,1,10.1696685428393
Gulf,2018,3,15.8452308863681
Hamilton,2018,1,6.1092643051771
Hardee,2018,5,19.9048207496371
Hendry,2018,5,12.929177598417
Hernando,2018,33,17.3929367393631
Highlands,2018,29,28.6225498579606
Hillsborough,2018,217,14.2788227512122
Holmes,2018,3,11.8896207873636
Indian River,2018,31,16.9706142020482
Jackson,2018,11,20.0538718203023
Jefferson,2018,2,13.3569527970573
Lafayette,2018,0,0
Lake,2018,77,21.3004018771424
Lee,2018,130,16.95280275025
Leon,2018,34,12.331383412655
Levy,2018,11,24.939462435599
Liberty,2018,2,22.0076189152342
Madison,2018,1,4.98430147058823
Manatee,2018,70,15.0847080972115
Marion,2018,91,24.9663697359692
Martin,2018,40,19.1671305086403
Monroe,2018,35,34.8660303737174
Nassau,2018,18,21.7424273570309
Okaloosa,2018,43,20.9107409660789
Okeechobee,2018,8,15.6889174277531
Orange,2018,147,10.4259044215171
Osceola,2018,42,11.5262939768972
Palm Beach,2018,247,15.4209399822563
Pasco,2018,119,21.349703662403
Pinellas,2018,219,19.7164532237764
Polk,2018,103,14.6111749711004
Putnam,2018,24,29.6474580532707
St. Johns,2018,56,22.0490533640719
St. Lucie,2018,55,15.0445466020199
Santa Rosa,2018,38,20.1629981479401
Sarasota,2018,104,21.1848753657289
Seminole,2018,66,12.9017495004608
Sumter,2018,21,11.0601355823519
Suwannee,2018,9,19.2913724808188
Taylor,2018,6,21.2348407093239
Union,2018,3,20.022661012946
Volusia,2018,125,19.3718942846058
Wakulla,2018,7,21.982360970903
Walton,2018,10,12.5550771624632
Washington,2018,9,33.5875217864424
Florida,2017,3187,14.0667659221825
Alachua,2017,32,12.5504699385547
Baker,2017,2,7.22944965208425
Bay,2017,44,22.9013765760854
Bradford,2017,2,4.66686279753945
Brevard,2017,141,21.1844422648767
Broward,2017,217,10.8735223894645
Calhoun,2017,3,15.4257286017988
Charlotte,2017,31,15.8688498589824
Citrus,2017,37,21.1294253865751
Clay,2017,38,17.5037608177392
Collier,2017,57,14.9478004297641
Columbia,2017,11,14.3480710040611
Miami-Dade,2017,241,7.85416569360521
DeSoto,2017,5,12.5764497233159
Dixie,2017,2,9.25919813669483
Duval,2017,155,15.7428989947811
Escambia,2017,75,24.7707698913616
Flagler,2017,31,28.7986493375452
Franklin,2017,2,10.9854337575983
Gadsden,2017,3,6.30578771923567
Gilchrist,2017,3,15.7254247029274
Glades,2017,1,8.17175757575758
Gulf,2017,0,0
Hamilton,2017,0,0
Hardee,2017,1,4.03573780305298
Hendry,2017,5,12.6973839974294
Hernando,2017,34,15.7874764135386
Highlands,2017,27,20.8568566305389
Hillsborough,2017,191,12.8334170824971
Holmes,2017,5,18.37471333806
Indian River,2017,34,23.7155884058118
Jackson,2017,9,16.1669518370278
Jefferson,2017,1,3.66584033613445
Lafayette,2017,0,0
Lake,2017,87,23.7509431018856
Lee,2017,114,14.269795095291
Leon,2017,35,11.7216214938961
Levy,2017,7,14.5063243276406
Liberty,2017,1,13.1116959064328
Madison,2017,3,13.3867271585974
Manatee,2017,67,15.4405499810275
Marion,2017,81,21.9040023903208
Martin,2017,26,14.8281195058213
Monroe,2017,20,22.185398313739
Nassau,2017,13,14.6052746883028
Okaloosa,2017,46,22.4568481435073
Okeechobee,2017,6,13.5147566498341
Orange,2017,146,10.8049190727056
Osceola,2017,44,12.6313822998871
Palm Beach,2017,199,12.2100345240484
Pasco,2017,95,17.1507643926727
Pinellas,2017,178,16.9281620581474
Polk,2017,99,13.9812934135815
Putnam,2017,18,23.3293964130703
St. Johns,2017,48,17.2731822084828
St. Lucie,2017,48,14.1309473564805
Santa Rosa,2017,31,16.9546695520885
Sarasota,2017,88,19.4415865213748
Seminole,2017,57,11.8130815197426
Sumter,2017,17,11.9516870925295
Suwannee,2017,13,28.67907836533
Taylor,2017,6,25.3920628242383
Union,2017,4,20.0813944009204
Volusia,2017,123,23.4316964283556
Wakulla,2017,8,23.7079291727167
Walton,2017,12,16.8220754845335
Washington,2017,5,20.1317996351729
Florida,2016,3122,14.1025488149792
Alachua,2016,32,13.5435282007923
Baker,2016,5,16.8979215752888
Bay,2016,45,25.1777104368502
Bradford,2016,1,3.62554450121001
Brevard,2016,134,23.1532221045732
Broward,2016,243,12.1674282023014
Calhoun,2016,2,15.028915484249
Charlotte,2016,38,17.7398016927372
Citrus,2016,29,19.9046048245548
Clay,2016,38,18.1048636386457
Collier,2016,45,10.5037253664079
Columbia,2016,9,13.8504496385137
Miami-Dade,2016,241,7.98962507734167
DeSoto,2016,8,17.9310695138125
Dixie,2016,2,11.7529041444432
Duval,2016,131,13.1429252313184
Escambia,2016,61,19.3640832637297
Flagler,2016,20,21.1771568346982
Franklin,2016,2,12.8246400122549
Gadsden,2016,3,5.52367620123551
Gilchrist,2016,3,23.210126747236
Glades,2016,4,32.1453488774098
Gulf,2016,2,10.202119335133
Hamilton,2016,2,13.3171759276964
Hardee,2016,6,21.9601440773013
Hendry,2016,5,13.5466011433717
Hernando,2016,38,19.1748819468423
Highlands,2016,24,17.9968669627669
Hillsborough,2016,163,11.55010587346
Holmes,2016,4,16.3902553553943
Indian River,2016,29,13.9919781469633
Jackson,2016,3,6.32507961878849
Jefferson,2016,2,13.6392846034708
Lafayette,2016,0,0
Lake,2016,52,12.5737663486071
Lee,2016,113,15.1161990755774
Leon,2016,26,8.79927251786871
Levy,2016,5,8.99667517484632
Liberty,2016,1,9.04422948632421
Madison,2016,0,0
Manatee,2016,81,20.6951276799687
Marion,2016,64,16.823965001363
Martin,2016,34,21.0435826912521
Monroe,2016,19,24.0825323572919
Nassau,2016,21,30.5313641565689
Okaloosa,2016,42,23.4541752648152
Okeechobee,2016,8,15.5131314808237
Orange,2016,126,9.76139457502299
Osceola,2016,36,11.0098670136722
Palm Beach,2016,230,15.2441302031361
Pasco,2016,104,18.0476239649459
Pinellas,2016,214,19.5877035632433
Polk,2016,87,12.7954415372986
Putnam,2016,15,20.7472891056258
