,County,Years,Rate,Count
0,Alachua,2020,1.8,5
1,Baker,2020,0,0
2,Bay,2020,2.3,4
3,Bradford,2020,0,0
4,Brevard,2020,1.7,10
5,Broward,2020,1.4,27
6,Calhoun,2020,0,0
7,Charlotte,2020,0.5,1
8,Citrus,2020,1.3,2
9,Clay,2020,0.9,2
10,Collier,2020,0.8,3
11,Columbia,2020,4.2,3
12,Miami-Dade,2020,0.7,21
13,DeSoto,2020,0,0
14,Dixie,2020,6,1
15,Duval,2020,1.6,16
16,Escambia,2020,2.5,8
17,Flagler,2020,4.4,5
18,Franklin,2020,0,0
19,Gadsden,2020,0,0
20,Gilchrist,2020,0,0
21,Glades,2020,0,0
22,Gulf,2020,6.8,1
23,Hamilton,2020,0,0
24,Hardee,2020,0,0
25,Hendry,2020,2.5,1
26,Hernando,2020,1,2
27,Highlands,2020,3.8,4
28,Hillsborough,2020,1,15
29,Holmes,2020,5,1
30,Indian River,2020,1.9,3
31,Jackson,2020,4.2,2
32,Jefferson,2020,0,0
33,Lafayette,2020,0,0
34,Lake,2020,1.9,7
35,Lee,2020,2.9,22
36,Leon,2020,1,3
37,Levy,2020,2.4,1
38,Liberty,2020,0,0
39,Madison,2020,0,0
40,Manatee,2020,2.3,9
41,Marion,2020,3,11
42,Martin,2020,3.1,5
43,Monroe,2020,2.6,2
44,Nassau,2020,2.3,2
45,Okaloosa,2020,1.5,3
46,Okeechobee,2020,2.4,1
47,Orange,2020,1,14
48,Osceola,2020,1.3,5
49,Palm Beach,2020,1.2,17
50,Pasco,2020,2.8,15
51,Pinellas,2020,2.4,24
52,Polk,2020,0.7,5
53,Putnam,2020,2.7,2
54,St. Johns,2020,2.3,6
55,St. Lucie,2020,0.6,2
56,Santa Rosa,2020,2.2,4
57,Sarasota,2020,4.1,18
58,Seminole,2020,1.2,6
59,Sumter,2020,2.3,3
60,Suwannee,2020,2.2,1
61,Taylor,2020,0,0
62,Union,2020,0,0
63,Volusia,2020,2.2,12
64,Wakulla,2020,3,1
65,Walton,2020,0,0
66,Washington,2020,0,0
67,Alachua,2019,0.8,2
68,Baker,2019,0,0
69,Bay,2019,1.1,2
70,Bradford,2019,3.5,1
71,Brevard,2019,3.7,22
72,Broward,2019,1.3,26
73,Calhoun,2019,0,0
74,Charlotte,2019,2.2,4
75,Citrus,2019,0.7,1
76,Clay,2019,1.8,4
77,Collier,2019,1.3,5
78,Columbia,2019,2.8,2
79,Miami-Dade,2019,0.8,23
80,DeSoto,2019,0,0
81,Dixie,2019,0,0
82,Duval,2019,1.7,17
83,Escambia,2019,1.5,5
84,Flagler,2019,2.7,3
85,Franklin,2019,0,0
86,Gadsden,2019,2.1,1
87,Gilchrist,2019,0,0
88,Glades,2019,0,0
89,Gulf,2019,6.1,1
90,Hamilton,2019,0,0
91,Hardee,2019,0,0
92,Hendry,2019,2.5,1
93,Hernando,2019,3.2,6
94,Highlands,2019,3.9,4
95,Hillsborough,2019,1.5,21
96,Holmes,2019,0,0
97,Indian River,2019,3.2,5
98,Jackson,2019,0,0
99,Jefferson,2019,20.2,3
100,Lafayette,2019,0,0
101,Lake,2019,3.7,13
102,Lee,2019,2.5,18
103,Leon,2019,1.3,4
104,Levy,2019,0,0
105,Liberty,2019,0,0
106,Madison,2019,0,0
107,Manatee,2019,2.1,8
108,Marion,2019,2.2,8
109,Martin,2019,3.2,5
110,Monroe,2019,4.1,3
111,Nassau,2019,1.2,1
112,Okaloosa,2019,1.5,3
113,Okeechobee,2019,0,0
114,Orange,2019,1.6,22
115,Osceola,2019,1.4,5
116,Palm Beach,2019,2.7,40
117,Pasco,2019,1.7,9
118,Pinellas,2019,2.6,25
119,Polk,2019,2.9,20
120,Putnam,2019,1.4,1
121,St. Johns,2019,2,5
122,St. Lucie,2019,1.6,5
123,Santa Rosa,2019,1.7,3
124,Sarasota,2019,2.6,11
125,Seminole,2019,1.1,5
126,Sumter,2019,4.6,6
127,Suwannee,2019,2.2,1
128,Taylor,2019,4.4,1
129,Union,2019,0,0
130,Volusia,2019,2,11
131,Wakulla,2019,0,0
132,Walton,2019,2.8,2
133,Washington,2019,0,0
134,Alachua,2018,0.8,2
135,Baker,2018,0,0
136,Bay,2018,2.7,5
137,Bradford,2018,0,0
138,Brevard,2018,2.9,17
139,Broward,2018,1.4,27
140,Calhoun,2018,0,0
141,Charlotte,2018,0,0
142,Citrus,2018,3.4,5
143,Clay,2018,3.7,8
144,Collier,2018,0.8,3
145,Columbia,2018,4.3,3
146,Miami-Dade,2018,0.7,20
147,DeSoto,2018,0,0
148,Dixie,2018,0,0
149,Duval,2018,2.3,22
150,Escambia,2018,2.2,7
151,Flagler,2018,3.7,4
152,Franklin,2018,0,0
153,Gadsden,2018,2.1,1
154,Gilchrist,2018,0,0
155,Glades,2018,0,0
156,Gulf,2018,0,0
