"Suicides by Drug Poisoning, Rate Per 100,000 Population",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Florida,338,"21,640,766",1.6,0.2,395,"21,268,553",1.9,0.2,408,"20,957,705",1.9,0.2,386,"20,555,728",1.9,0.2,414,"20,231,092.00",2,0.2,437,"19,897,762",2.2,0.2,440,"19,579,871",2.2,0.2,416,"19,314,396",2.2,0.2,440,19118938,2.3,0.2,386,"18,941,742",2,0.2
Alachua,5,"270,405",1.8,1.6,2,"266,649",0.8,,2,"263,753",0.8,,3,"259,349",1.2,,2,"257,478.00",0.8,,5,"255,631",2,1.7,3,"251,760",1.2,,5,"248,526",2,1.8,5,246893,2,1.8,8,"247,151",3.2,2.2
Baker,0,"28,588",0,,0,"28,089",0,,0,"27,488",0,,0,"27,066",0,,0,"26,967.00",0,,1,"27,003",3.7,,1,"27,012",3.7,,1,"26,895",3.7,,1,26926,3.7,,0,"26,915",0,
Bay,4,"175,776",2.3,,2,"179,900",1.1,,5,"182,218",2.7,2.4,6,"178,953",3.4,2.7,3,"176,637.00",1.7,,5,"174,016",2.9,2.5,6,"171,285",3.5,2.8,1,"170,004",0.6,,2,169477,1.2,,1,"169,311",0.6,
Bradford,0,"28,818",0,,1,"28,455",3.5,,0,"28,083",0,,0,"27,808",0,,0,"27,498.00",0,,0,"27,325",0,,1,"27,317",3.7,,2,"27,278",7.3,,2,27083,7.4,,0,"28,385",0,
Brevard,10,"604,154",1.7,1,22,"593,372",3.7,1.5,17,"584,050",2.9,1.4,22,"576,970",3.8,1.6,21,"570,496.00",3.7,1.6,24,"563,818",4.3,1.7,14,"554,431",2.5,1.3,24,"549,144",4.4,1.7,15,546128,2.7,1.4,13,"545,304",2.4,1.3
Broward,27,"1,946,104",1.4,0.5,26,"1,927,014",1.3,0.5,27,"1,903,210",1.4,0.5,26,"1,884,545",1.4,0.5,34,"1,860,979.00",1.8,0.6,28,"1,834,008",1.5,0.6,39,"1,809,422",2.2,0.7,34,"1,788,781",1.9,0.6,34,1774943,1.9,0.6,42,"1,756,730",2.4,0.7
Calhoun,0,"14,894",0,,0,"14,982",0,,0,"15,315",0,,2,"14,658",13.6,,1,"14,594.00",6.9,,0,"14,550",0,,0,"14,579",0,,0,"14,617",0,,0,14631,0,,1,"14,685",6.8,
