,County,Years,Rate,Count
0,Alachua,2020,5.7,17
1,Baker,2020,7.5,2
2,Bay,2020,12.4,23
3,Bradford,2020,5.7,2
4,Brevard,2020,10.3,76
5,Broward,2020,5.3,114
6,Calhoun,2020,0,0
7,Charlotte,2020,7.2,24
8,Citrus,2020,14.4,29
9,Clay,2020,8.8,20
10,Collier,2020,8.8,34
11,Columbia,2020,7.2,6
12,Miami-Dade,2020,3.2,102
13,DeSoto,2020,6.8,2
14,Dixie,2020,10,2
15,Duval,2020,9.3,97
16,Escambia,2020,9.8,33
17,Flagler,2020,13.2,15
18,Franklin,2020,0,0
19,Gadsden,2020,3.9,3
20,Gilchrist,2020,18.4,4
21,Glades,2020,11.2,1
22,Gulf,2020,10.9,2
23,Hamilton,2020,24.5,4
24,Hardee,2020,2.6,1
25,Hendry,2020,6.8,3
26,Hernando,2020,10.7,25
27,Highlands,2020,9.4,10
28,Hillsborough,2020,7,111
29,Holmes,2020,3.1,1
30,Indian River,2020,7,15
31,Jackson,2020,6,3
32,Jefferson,2020,29.5,4
33,Lafayette,2020,0,0
34,Lake,2020,11.1,48
35,Lee,2020,8,72
36,Leon,2020,8.9,29
37,Levy,2020,10.8,4
38,Liberty,2020,13.7,1
39,Madison,2020,10.2,2
40,Manatee,2020,7,38
41,Marion,2020,11.5,49
42,Martin,2020,5,12
43,Monroe,2020,10.3,11
44,Nassau,2020,9.9,10
45,Okaloosa,2020,12.1,25
46,Okeechobee,2020,7.1,3
47,Orange,2020,4.6,68
48,Osceola,2020,4.5,18
49,Palm Beach,2020,5.5,93
50,Pasco,2020,8.3,53
51,Pinellas,2020,7.9,89
52,Polk,2020,6.6,49
53,Putnam,2020,17.8,14
54,St. Johns,2020,6.3,16
55,St. Lucie,2020,6.7,25
56,Santa Rosa,2020,16.5,31
57,Sarasota,2020,7,37
58,Seminole,2020,7.5,39
59,Sumter,2020,6.1,12
60,Suwannee,2020,12.4,7
61,Taylor,2020,5.3,2
62,Union,2020,12.8,2
63,Volusia,2020,10.6,68
64,Wakulla,2020,7.7,3
65,Walton,2020,5.9,5
66,Washington,2020,18.1,5
67,Alachua,2019,5.3,13
68,Baker,2019,12.9,4
69,Bay,2019,11.6,23
70,Bradford,2019,18,5
71,Brevard,2019,8.5,67
72,Broward,2019,5.2,114
73,Calhoun,2019,5.1,1
74,Charlotte,2019,13.5,31
75,Citrus,2019,16.9,37
76,Clay,2019,11.7,27
77,Collier,2019,5.6,22
78,Columbia,2019,17.7,14
79,Miami-Dade,2019,3.6,110
80,DeSoto,2019,4.3,2
81,Dixie,2019,15.4,4
82,Duval,2019,9,94
83,Escambia,2019,9.4,32
84,Flagler,2019,10.2,15
85,Franklin,2019,4.9,1
86,Gadsden,2019,23.1,10
87,Gilchrist,2019,9.5,2
88,Glades,2019,21.1,2
89,Gulf,2019,23.2,5
90,Hamilton,2019,9.6,1
91,Hardee,2019,10.5,3
92,Hendry,2019,11.4,5
93,Hernando,2019,10.7,26
94,Highlands,2019,10.1,15
95,Hillsborough,2019,7.7,119
96,Holmes,2019,8.6,2
97,Indian River,2019,10.8,20
98,Jackson,2019,3.6,2
99,Jefferson,2019,3.7,1
100,Lafayette,2019,0,0
101,Lake,2019,11.2,44
102,Lee,2019,6.2,58
103,Leon,2019,6.8,21
104,Levy,2019,6.7,3
105,Liberty,2019,10.4,1
106,Madison,2019,11.9,2
107,Manatee,2019,10.3,46
108,Marion,2019,8.6,44
109,Martin,2019,6.8,17
110,Monroe,2019,11.3,11
111,Nassau,2019,4.6,5
112,Okaloosa,2019,11.2,23
113,Okeechobee,2019,5.4,2
114,Orange,2019,4.3,63
115,Osceola,2019,7.1,27
116,Palm Beach,2019,6.8,115
117,Pasco,2019,9.9,60
118,Pinellas,2019,7.4,88
119,Polk,2019,9.4,74
120,Putnam,2019,8.5,8
121,St. Johns,2019,8.9,28
122,St. Lucie,2019,5.6,23
123,Santa Rosa,2019,10.8,21
124,Sarasota,2019,9.8,42
125,Seminole,2019,6.8,34
126,Sumter,2019,12.9,22
127,Suwannee,2019,14,8
128,Taylor,2019,0,0
129,Union,2019,6.1,1
130,Volusia,2019,9,66
131,Wakulla,2019,6.8,3
132,Walton,2019,10.2,8
133,Washington,2019,12.3,3
134,Alachua,2018,7.2,20
135,Baker,2018,14.8,4
136,Bay,2018,14.2,33
137,Bradford,2018,9.3,3
138,Brevard,2018,9.6,67
139,Broward,2018,5.8,119
140,Calhoun,2018,14.3,2
141,Charlotte,2018,8.1,20
142,Citrus,2018,16.4,29
143,Clay,2018,8.7,20
144,Collier,2018,5.3,27
145,Columbia,2018,10.7,9
146,Miami-Dade,2018,4.2,132
147,DeSoto,2018,9,4
148,Dixie,2018,9.7,3
149,Duval,2018,9.6,93
150,Escambia,2018,9.5,29
151,Flagler,2018,15.8,20
152,Franklin,2018,7.9,1
153,Gadsden,2018,2.7,1
154,Gilchrist,2018,16.8,4
155,Glades,2018,0,0
156,Gulf,2018,0,0
157,Hamilton,2018,6.1,1
158,Hardee,2018,9.6,3
159,Hendry,2018,9.7,4
160,Hernando,2018,9.9,19
161,Highlands,2018,10.5,14
162,Hillsborough,2018,7.1,106
163,Holmes,2018,6.6,2
164,Indian River,2018,11.1,20
165,Jackson,2018,11.4,7
166,Jefferson,2018,13.4,2
167,Lafayette,2018,0,0
168,Lake,2018,10,41
169,Lee,2018,8.6,74
170,Leon,2018,8.5,23
171,Levy,2018,18.3,9
172,Liberty,2018,22,2
173,Madison,2018,5,1
174,Manatee,2018,8,41
175,Marion,2018,12.2,49
176,Martin,2018,8.9,23
177,Monroe,2018,24.6,23
178,Nassau,2018,14,12
179,Okaloosa,2018,10.6,23
180,Okeechobee,2018,10,5
181,Orange,2018,4.9,69
182,Osceola,2018,4.6,17
183,Palm Beach,2018,6.8,114
184,Pasco,2018,11.5,69
185,Pinellas,2018,8.2,102
186,Polk,2018,7.5,56
187,Putnam,2018,16.1,15
188,St. Johns,2018,14.4,37
189,St. Lucie,2018,7,26
190,Santa Rosa,2018,12.6,24
191,Sarasota,2018,9.7,48
192,Seminole,2018,6.7,35
193,Sumter,2018,6.9,12
194,Suwannee,2018,11.4,6
195,Taylor,2018,21.2,6
196,Union,2018,0,0
197,Volusia,2018,10,70
198,Wakulla,2018,12,4
199,Walton,2018,7.1,6
200,Washington,2018,14.7,4
201,Alachua,2017,6.2,15
202,Baker,2017,7.2,2
203,Bay,2017,10.4,21
204,Bradford,2017,2.3,1
205,Brevard,2017,11.3,78
206,Broward,2017,4.9,97
207,Calhoun,2017,0,0
208,Charlotte,2017,11.2,21
209,Citrus,2017,14,26
210,Clay,2017,10.1,22
211,Collier,2017,7.2,30
212,Columbia,2017,8.9,7
213,Miami-Dade,2017,3.8,117
214,DeSoto,2017,12.6,5
215,Dixie,2017,9.3,2
216,Duval,2017,8.8,87
217,Escambia,2017,14.5,45
218,Flagler,2017,7.6,10
219,Franklin,2017,11,2
220,Gadsden,2017,4,2
221,Gilchrist,2017,15.7,3
222,Glades,2017,8.2,1
223,Gulf,2017,0,0
224,Hamilton,2017,0,0
225,Hardee,2017,4,1
226,Hendry,2017,12.7,5
227,Hernando,2017,9.5,20
228,Highlands,2017,13.8,19
229,Hillsborough,2017,6.5,98
230,Holmes,2017,18.4,5
231,Indian River,2017,9.8,18
232,Jackson,2017,10.9,6
233,Jefferson,2017,0,0
234,Lafayette,2017,0,0
235,Lake,2017,12.5,52
236,Lee,2017,8.1,72
237,Leon,2017,5.7,16
238,Levy,2017,8.9,4
239,Liberty,2017,13.1,1
240,Madison,2017,13.4,3
241,Manatee,2017,8.6,41
242,Marion,2017,14.5,56
243,Martin,2017,8.9,16
244,Monroe,2017,9.6,9
245,Nassau,2017,9.7,9
246,Okaloosa,2017,13.7,28
247,Okeechobee,2017,4,2
248,Orange,2017,5.5,73
249,Osceola,2017,6.8,24
250,Palm Beach,2017,4.4,76
251,Pasco,2017,9.1,54
252,Pinellas,2017,8,89
253,Polk,2017,8,56
254,Putnam,2017,13.3,12
255,St. Johns,2017,8.7,25
256,St. Lucie,2017,7,27
257,Santa Rosa,2017,9.4,18
258,Sarasota,2017,9.7,50
259,Seminole,2017,5.8,28
260,Sumter,2017,4,8
261,Suwannee,2017,22.1,11
262,Taylor,2017,22.5,5
263,Union,2017,3.6,1
264,Volusia,2017,11.5,67
265,Wakulla,2017,23.7,8
266,Walton,2017,10.1,8
267,Washington,2017,7.9,2
268,Alachua,2016,8.7,20
269,Baker,2016,13.3,4
270,Bay,2016,16.1,29
271,Bradford,2016,0,0
272,Brevard,2016,9.9,66
273,Broward,2016,5.2,105
274,Calhoun,2016,6.6,1
275,Charlotte,2016,10,25
276,Citrus,2016,14.5,22
277,Clay,2016,12.6,26
278,Collier,2016,5.3,28
279,Columbia,2016,12.9,8
280,Miami-Dade,2016,3.2,98
281,DeSoto,2016,10.2,5
282,Dixie,2016,0,0
283,Duval,2016,7.3,75
284,Escambia,2016,11.2,36
285,Flagler,2016,7.2,7
286,Franklin,2016,0,0
287,Gadsden,2016,3.2,2
288,Gilchrist,2016,9.3,1
289,Glades,2016,15.7,2
290,Gulf,2016,10.2,2
291,Hamilton,2016,13.3,2
292,Hardee,2016,2.8,1
293,Hendry,2016,2.6,1
294,Hernando,2016,12.8,28
295,Highlands,2016,12.8,17
296,Hillsborough,2016,6.1,87
297,Holmes,2016,9.7,3
298,Indian River,2016,7.1,16
299,Jackson,2016,2,1
300,Jefferson,2016,13.6,2
301,Lafayette,2016,0,0
302,Lake,2016,7.9,35
303,Lee,2016,8.2,69
304,Leon,2016,5.2,15
305,Levy,2016,5.8,4
306,Liberty,2016,9,1
307,Madison,2016,0,0
308,Manatee,2016,11.6,48
309,Marion,2016,9.9,42
310,Martin,2016,9,17
311,Monroe,2016,12.6,10
312,Nassau,2016,17.5,13
313,Okaloosa,2016,17.3,31
314,Okeechobee,2016,9.6,5
315,Orange,2016,4.5,57
316,Osceola,2016,5.7,19
317,Palm Beach,2016,6.2,97
318,Pasco,2016,8.4,53
319,Pinellas,2016,9.2,108
320,Polk,2016,6.3,44
321,Putnam,2016,9.9,9
322,St. Johns,2016,10.6,28
323,St. Lucie,2016,7.2,26
324,Santa Rosa,2016,15.3,27
325,Sarasota,2016,10.5,50
326,Seminole,2016,7.1,35
327,Sumter,2016,8.4,11
328,Suwannee,2016,9.2,5
329,Taylor,2016,14.2,4
330,Union,2016,21.9,4
331,Volusia,2016,9.3,57
332,Wakulla,2016,17.2,6
333,Walton,2016,16.6,11
334,Washington,2016,17.1,5
335,Alachua,2015,6.7,15
336,Baker,2015,5.7,2
337,Bay,2015,10.5,20
338,Bradford,2015,3,1
339,Brevard,2015,12.4,81
340,Broward,2015,5.4,107
341,Calhoun,2015,8.3,1
342,Charlotte,2015,11,22
343,Citrus,2015,12.2,20
344,Clay,2015,6.3,14
345,Collier,2015,4,19
346,Columbia,2015,8.1,6
347,Miami-Dade,2015,3.9,115
348,DeSoto,2015,7.5,4
349,Dixie,2015,21,4
350,Duval,2015,9.9,92
351,Escambia,2015,7.4,25
352,Flagler,2015,12.6,16
353,Franklin,2015,13.9,2
354,Gadsden,2015,8.8,5
355,Gilchrist,2015,8.5,2
356,Glades,2015,23,3
357,Gulf,2015,25.4,5
358,Hamilton,2015,0,0
359,Hardee,2015,6.4,2
360,Hendry,2015,18.9,7
361,Hernando,2015,10.4,21
362,Highlands,2015,4,7
363,Hillsborough,2015,7.6,108
364,Holmes,2015,8.8,2
365,Indian River,2015,3.2,8
366,Jackson,2015,7.8,4
367,Jefferson,2015,11.8,2
368,Lafayette,2015,11.2,1
369,Lake,2015,5.5,26
370,Lee,2015,7,55
371,Leon,2015,6.3,14
372,Levy,2015,9.7,6
373,Liberty,2015,0,0
374,Madison,2015,4.4,1
375,Manatee,2015,5.9,27
376,Marion,2015,10.8,39
377,Martin,2015,5.9,13
378,Monroe,2015,12,12
379,Nassau,2015,13.3,13
380,Okaloosa,2015,10.2,21
381,Okeechobee,2015,8.2,3
382,Orange,2015,4.4,57
383,Osceola,2015,4.4,13
384,Palm Beach,2015,6.3,90
385,Pasco,2015,9.3,52
386,Pinellas,2015,9.4,110
387,Polk,2015,8,57
388,Putnam,2015,12,10
389,St. Johns,2015,11.3,25
390,St. Lucie,2015,8.9,28
391,Santa Rosa,2015,10.9,19
392,Sarasota,2015,10.9,52
393,Seminole,2015,6.6,34
394,Sumter,2015,0.8,3
395,Suwannee,2015,10.1,6
396,Taylor,2015,11.3,3
397,Union,2015,28.1,3
398,Volusia,2015,12.3,70
399,Wakulla,2015,14.1,4
400,Walton,2015,14.2,8
401,Washington,2015,8.4,2
402,Alachua,2014,8.4,22
403,Baker,2014,6.6,2
404,Bay,2014,15.6,28
405,Bradford,2014,3.5,1
406,Brevard,2014,9,64
407,Broward,2014,4.8,94
408,Calhoun,2014,8.3,1
409,Charlotte,2014,14.8,22
410,Citrus,2014,16.9,26
411,Clay,2014,11.1,23
412,Collier,2014,4.2,18
413,Columbia,2014,13.5,9
414,Miami-Dade,2014,3.1,91
415,DeSoto,2014,8.2,3
416,Dixie,2014,6,2
417,Duval,2014,7.4,68
418,Escambia,2014,10.5,36
419,Flagler,2014,6.6,9
420,Franklin,2014,0,0
421,Gadsden,2014,8.8,5
422,Gilchrist,2014,18.4,4
423,Glades,2014,18.2,3
424,Gulf,2014,18,2
425,Hamilton,2014,4.4,1
426,Hardee,2014,9.4,3
427,Hendry,2014,8.8,3
428,Hernando,2014,9.3,18
429,Highlands,2014,11.4,14
430,Hillsborough,2014,5.9,81
431,Holmes,2014,4.7,1
432,Indian River,2014,3.7,10
433,Jackson,2014,6.8,4
434,Jefferson,2014,6,1
435,Lafayette,2014,0,0
436,Lake,2014,7.6,28
437,Lee,2014,8.4,65
438,Leon,2014,8.8,22
439,Levy,2014,13.9,7
440,Liberty,2014,10.9,1
441,Madison,2014,10.4,2
442,Manatee,2014,8.4,31
443,Marion,2014,9.6,40
444,Martin,2014,5.8,9
445,Monroe,2014,7.1,7
446,Nassau,2014,13.3,10
447,Okaloosa,2014,8.2,16
448,Okeechobee,2014,8.6,4
449,Orange,2014,4.1,52
450,Osceola,2014,6.2,19
451,Palm Beach,2014,7.2,117
452,Pasco,2014,10.4,57
453,Pinellas,2014,8.6,101
454,Polk,2014,5.3,37
455,Putnam,2014,8.9,6
456,St. Johns,2014,9.5,23
457,St. Lucie,2014,8.6,26
458,Santa Rosa,2014,9.3,15
459,Sarasota,2014,7.4,34
460,Seminole,2014,5.3,26
461,Sumter,2014,7.7,10
462,Suwannee,2014,14.8,8
463,Taylor,2014,12.2,3
464,Union,2014,0,0
465,Volusia,2014,9.4,56
466,Wakulla,2014,14,5
467,Walton,2014,6.7,5
468,Washington,2014,11.1,3
469,Alachua,2013,6.6,16
470,Baker,2013,0,0
471,Bay,2013,12.2,25
472,Bradford,2013,9.7,3
473,Brevard,2013,11.8,71
474,Broward,2013,4.7,92
475,Calhoun,2013,0,0
476,Charlotte,2013,9.9,22
477,Citrus,2013,17,29
478,Clay,2013,8.3,15
479,Collier,2013,4.2,17
480,Columbia,2013,13.8,10
481,Miami-Dade,2013,3.5,98
482,DeSoto,2013,4.5,2
483,Dixie,2013,0,0
484,Duval,2013,8.3,73
485,Escambia,2013,10.1,30
486,Flagler,2013,10.9,11
487,Franklin,2013,0,0
488,Gadsden,2013,9.9,5
489,Gilchrist,2013,8.8,1
490,Glades,2013,0,0
491,Gulf,2013,14.5,3
492,Hamilton,2013,5,1
493,Hardee,2013,10.6,3
494,Hendry,2013,0,0
495,Hernando,2013,14.5,23
496,Highlands,2013,13.4,18
497,Hillsborough,2013,6.6,88
498,Holmes,2013,14.5,3
499,Indian River,2013,11.9,19
500,Jackson,2013,3.5,2
501,Jefferson,2013,5.9,1
502,Lafayette,2013,0,0
503,Lake,2013,6.8,23
504,Lee,2013,6,47
505,Leon,2013,8,23
506,Levy,2013,19.2,9
507,Liberty,2013,0,0
508,Madison,2013,13.6,3
509,Manatee,2013,8.7,32
510,Marion,2013,12.3,54
511,Martin,2013,8.9,15
512,Monroe,2013,16.8,13
513,Nassau,2013,11.8,12
514,Okaloosa,2013,13.6,27
515,Okeechobee,2013,8.4,4
516,Orange,2013,4.9,59
517,Osceola,2013,4.9,14
518,Palm Beach,2013,7.1,105
519,Pasco,2013,8.8,49
520,Pinellas,2013,8.4,86
521,Polk,2013,7.9,52
522,Putnam,2013,12.4,10
523,St. Johns,2013,10.8,25
524,St. Lucie,2013,6.8,26
525,Santa Rosa,2013,10,17
526,Sarasota,2013,6.6,35
527,Seminole,2013,6.5,31
528,Sumter,2013,8.2,12
529,Suwannee,2013,5.1,3
530,Taylor,2013,22,6
531,Union,2013,12.8,2
532,Volusia,2013,10.3,59
533,Wakulla,2013,16.1,4
534,Walton,2013,18.4,13
535,Washington,2013,0,0
536,Alachua,2012,8.1,17
537,Baker,2012,7.2,2
538,Bay,2012,11.1,20
539,Bradford,2012,12.1,4
540,Brevard,2012,9.3,60
541,Broward,2012,6.1,122
542,Calhoun,2012,15.6,3
543,Charlotte,2012,15.1,26
544,Citrus,2012,13,23
545,Clay,2012,10,19
546,Collier,2012,7.1,23
547,Columbia,2012,10.4,8
548,Miami-Dade,2012,3.3,94
549,DeSoto,2012,16.6,6
550,Dixie,2012,3.4,1
551,Duval,2012,10.6,94
552,Escambia,2012,11.3,34
553,Flagler,2012,2.9,5
554,Franklin,2012,7.9,1
555,Gadsden,2012,10.1,6
556,Gilchrist,2012,19.3,4
557,Glades,2012,0,0
558,Gulf,2012,9.2,2
559,Hamilton,2012,29.1,4
560,Hardee,2012,8.8,2
561,Hendry,2012,5.7,2
562,Hernando,2012,8.1,16
563,Highlands,2012,13.9,14
564,Hillsborough,2012,6.5,85
565,Holmes,2012,23.2,6
566,Indian River,2012,9.6,14
567,Jackson,2012,10.4,6
568,Jefferson,2012,4.5,1
569,Lafayette,2012,0,0
570,Lake,2012,10.2,36
571,Lee,2012,7.1,52
572,Leon,2012,8.9,25
573,Levy,2012,8,3
574,Liberty,2012,15.1,1
575,Madison,2012,8,2
576,Manatee,2012,5.9,21
577,Marion,2012,8.6,34
578,Martin,2012,9,19
579,Monroe,2012,7.2,6
580,Nassau,2012,14.6,11
581,Okaloosa,2012,10.4,20
582,Okeechobee,2012,15.1,6
583,Orange,2012,4.8,55
584,Osceola,2012,4.8,13
585,Palm Beach,2012,6.2,97
586,Pasco,2012,9.6,47
587,Pinellas,2012,7.1,81
588,Polk,2012,3.8,27
589,Putnam,2012,9.1,7
590,St. Johns,2012,11,23
591,St. Lucie,2012,8.5,27
592,Santa Rosa,2012,11.9,21
593,Sarasota,2012,9.1,45
594,Seminole,2012,5.7,26
595,Sumter,2012,1.2,5
596,Suwannee,2012,11.4,6
597,Taylor,2012,3.8,1
598,Union,2012,0,0
599,Volusia,2012,12,72
600,Wakulla,2012,14.6,4
601,Walton,2012,12.8,9
602,Washington,2012,23.2,6
603,Alachua,2011,5.2,13
604,Baker,2011,13,3
605,Bay,2011,13.3,24
606,Bradford,2011,15.6,5
607,Brevard,2011,10.3,66
608,Broward,2011,5.4,101
609,Calhoun,2011,12.2,2
610,Charlotte,2011,12.4,22
611,Citrus,2011,14.9,26
612,Clay,2011,7.6,15
613,Collier,2011,3.9,14
614,Columbia,2011,11.5,8
615,Miami-Dade,2011,3.2,87
616,DeSoto,2011,5,2
617,Dixie,2011,20.2,5
618,Duval,2011,8.3,74
619,Escambia,2011,6.1,21
620,Flagler,2011,5.1,5
621,Franklin,2011,0,0
622,Gadsden,2011,9.1,5
623,Gilchrist,2011,19.4,4
624,Glades,2011,20.2,3
625,Gulf,2011,7,1
626,Hamilton,2011,4.5,1
627,Hardee,2011,3.6,1
628,Hendry,2011,2.5,1
629,Hernando,2011,12.2,25
630,Highlands,2011,10.3,10
631,Hillsborough,2011,6,76
632,Holmes,2011,9.6,2
633,Indian River,2011,6.4,10
634,Jackson,2011,10.4,6
635,Jefferson,2011,0,0
636,Lafayette,2011,11.2,1
637,Lake,2011,9.5,33
638,Lee,2011,8.6,56
639,Leon,2011,8.4,22
640,Levy,2011,8.2,5
641,Liberty,2011,0,0
642,Madison,2011,0,0
643,Manatee,2011,7.7,28
644,Marion,2011,11.4,46
645,Martin,2011,8.8,18
646,Monroe,2011,18.2,17
647,Nassau,2011,16,13
648,Okaloosa,2011,8,16
649,Okeechobee,2011,9.4,4
650,Orange,2011,5.1,56
651,Osceola,2011,7,19
652,Palm Beach,2011,5.3,79
653,Pasco,2011,11.2,59
654,Pinellas,2011,7.3,82
655,Polk,2011,6.6,45
656,Putnam,2011,10,6
657,St. Johns,2011,7.7,16
658,St. Lucie,2011,10,30
659,Santa Rosa,2011,11.4,20
660,Sarasota,2011,7,38
661,Seminole,2011,5.7,26
662,Sumter,2011,2.3,5
663,Suwannee,2011,11.5,5
664,Taylor,2011,3.9,1
665,Union,2011,0,0
666,Volusia,2011,11.6,64
667,Wakulla,2011,19.9,6
668,Walton,2011,11,8
669,Washington,2011,26.6,7
