County,Years,Gender,Rate,Count
Alachua,2020,Male,17,22
Baker,2020,Male,20.8,3
Bay,2020,Male,35.6,32
Bradford,2020,Male,24.7,4
Brevard,2020,Male,26.6,92
Broward,2020,Male,16.4,169
Calhoun,2020,Male,0,0
Charlotte,2020,Male,27.9,35
Citrus,2020,Male,34,28
Clay,2020,Male,20.5,23
Collier,2020,Male,22.6,45
Columbia,2020,Male,26.4,10
Miami-Dade,2020,Male,11.7,174
DeSoto,2020,Male,11.2,2
Dixie,2020,Male,47.3,5
Duval,2020,Male,25.5,126
Escambia,2020,Male,30.8,51
Flagler,2020,Male,35,20
Franklin,2020,Male,0,0
Gadsden,2020,Male,13,4
Gilchrist,2020,Male,41.3,4
Glades,2020,Male,27.5,2
Gulf,2020,Male,35.8,3
Hamilton,2020,Male,35.9,4
Hardee,2020,Male,12.1,2
Hendry,2020,Male,18.4,4
Hernando,2020,Male,32.4,32
Highlands,2020,Male,38.3,17
Hillsborough,2020,Male,19.8,143
Holmes,2020,Male,43.6,5
Indian River,2020,Male,26.2,23
Jackson,2020,Male,41.4,11
Jefferson,2020,Male,38.7,2
Lafayette,2020,Male,0,0
Lake,2020,Male,31.3,61
Lee,2020,Male,23.8,97
Leon,2020,Male,21.1,33
Levy,2020,Male,17.5,4
Liberty,2020,Male,21.3,1
Madison,2020,Male,21,2
Manatee,2020,Male,24.7,55
Marion,2020,Male,34.9,67
Martin,2020,Male,22.2,23
Monroe,2020,Male,46.2,23
Nassau,2020,Male,35.1,15
Okaloosa,2020,Male,28.7,30
Okeechobee,2020,Male,17.1,4
Orange,2020,Male,14.4,102
Osceola,2020,Male,14.7,29
Palm Beach,2020,Male,17.3,138
Pasco,2020,Male,24.1,71
Pinellas,2020,Male,23.7,122
Polk,2020,Male,21.3,76
Putnam,2020,Male,53.6,19
St. Johns,2020,Male,23.9,30
St. Lucie,2020,Male,19.5,35
Santa Rosa,2020,Male,40.1,37
Sarasota,2020,Male,23.3,54
Seminole,2020,Male,19.5,48
Sumter,2020,Male,8.3,13
Suwannee,2020,Male,26.3,7
Taylor,2020,Male,19,3
Union,2020,Male,51.8,5
Volusia,2020,Male,29.2,87
Wakulla,2020,Male,14.7,3
Walton,2020,Male,14.2,5
Washington,2020,Male,25.8,4
Alachua,2019,Male,19.4,23
Baker,2019,Male,19.8,3
