County,Years,Rate,Count
Alachua,2020,6.5,16
Baker,2020,7.5,2
Bay,2020,10.2,18
Bradford,2020,15,4
Brevard,2020,6.3,41
Broward,2020,5.2,108
Calhoun,2020,6.7,1
Charlotte,2020,8.5,13
Citrus,2020,9.5,9
Clay,2020,4.2,9
Collier,2020,6.9,26
Columbia,2020,15.3,10
Miami-Dade,2020,3.6,113
DeSoto,2020,3.2,1
Dixie,2020,17.3,3
Duval,2020,6.2,61
Escambia,2020,9.5,33
Flagler,2020,7.6,10
Franklin,2020,0,0
Gadsden,2020,3.6,2
Gilchrist,2020,8.7,1
Glades,2020,3.7,1
Gulf,2020,11,2
Hamilton,2020,6.6,1
Hardee,2020,3.7,1
Hendry,2020,5.2,2
Hernando,2020,7.2,11
Highlands,2020,15.8,12
Hillsborough,2020,5.2,76
Holmes,2020,32,6
Indian River,2020,9.5,16
Jackson,2020,20.2,9
Jefferson,2020,0,0
Lafayette,2020,0,0
Lake,2020,6.7,24
Lee,2020,7.1,58
Leon,2020,3.7,12
Levy,2020,4.8,2
Liberty,2020,0,0
Madison,2020,5.1,1
Manatee,2020,7.2,29
Marion,2020,10.4,36
Martin,2020,8.9,17
Monroe,2020,17,14
Nassau,2020,12.8,10
Okaloosa,2020,7.8,15
Okeechobee,2020,8,3
Orange,2020,4.3,64
Osceola,2020,4.7,19
Palm Beach,2020,4.9,78
Pasco,2020,9,50
Pinellas,2020,8.7,86
Polk,2020,6.2,45
Putnam,2020,13.8,8
St. Johns,2020,10.1,30
St. Lucie,2020,4.5,15
Santa Rosa,2020,9.3,17
Sarasota,2020,8.9,41
Seminole,2020,3.9,21
Sumter,2020,0.9,4
Suwannee,2020,7.2,3
Taylor,2020,7.7,2
Union,2020,23.8,3
Volusia,2020,8.8,50
Wakulla,2020,5.7,2
Walton,2020,5.1,4
Washington,2020,0,0
Alachua,2019,6.6,18
Baker,2019,3.2,1
Bay,2019,6.3,12
Bradford,2019,4.3,1
Brevard,2019,11,70
Broward,2019,6.1,127
Calhoun,2019,0,0
Charlotte,2019,10.6,19
Citrus,2019,9.2,9
Clay,2019,6.5,16
Collier,2019,6.4,23
Columbia,2019,10.9,6
Miami-Dade,2019,5,158
DeSoto,2019,6.8,3
Dixie,2019,0,0
Duval,2019,8.4,83
Escambia,2019,6.2,21
Flagler,2019,9.1,10
Franklin,2019,25,2
Gadsden,2019,4.3,2
Gilchrist,2019,13.5,2
Glades,2019,13.3,2
Gulf,2019,13.6,2
Hamilton,2019,16.6,2
Hardee,2019,3.6,1
Hendry,2019,9.7,4
Hernando,2019,9.2,17
Highlands,2019,13.2,12
Hillsborough,2019,6.4,97
Holmes,2019,0,0
Indian River,2019,5.7,9
Jackson,2019,5.5,3
Jefferson,2019,14.5,3
Lafayette,2019,0,0
Lake,2019,8.7,34
Lee,2019,8.6,66
Leon,2019,4.4,12
Levy,2019,0,0
Liberty,2019,0,0
Madison,2019,20,4
Manatee,2019,6.9,30
Marion,2019,10.4,35
Martin,2019,9.2,15
Monroe,2019,13.2,11
Nassau,2019,15.4,12
Okaloosa,2019,7.1,14
Okeechobee,2019,16.6,6
Orange,2019,5.3,77
Osceola,2019,6.7,25
Palm Beach,2019,7.1,114
Pasco,2019,10.8,59
Pinellas,2019,9.2,101
Polk,2019,7.9,55
Putnam,2019,5.4,4
St. Johns,2019,9.4,25
St. Lucie,2019,7.7,24
Santa Rosa,2019,8,14
Sarasota,2019,9.3,44
Seminole,2019,3.7,19
Sumter,2019,12.5,13
Suwannee,2019,9.6,4
Taylor,2019,9,2
Union,2019,0,0
Volusia,2019,12.1,62
Wakulla,2019,2.8,1
Walton,2019,7.7,6
Washington,2019,3.8,1
Alachua,2018,9.3,22
Baker,2018,3.6,1
Bay,2018,9.7,18
Bradford,2018,6.8,2
Brevard,2018,10.1,61
Broward,2018,6.7,141
Calhoun,2018,0,0
Charlotte,2018,9.8,15
Citrus,2018,14.5,22
Clay,2018,9.3,19
Collier,2018,6.7,28
Columbia,2018,12.4,9
Miami-Dade,2018,4.9,146
DeSoto,2018,10.9,4
Dixie,2018,0,0
Duval,2018,7.3,71
Escambia,2018,6.5,21
Flagler,2018,9,9
Franklin,2018,3.7,1
Gadsden,2018,14.5,6
Gilchrist,2018,3.4,1
Glades,2018,10.2,1
Gulf,2018,15.8,3
Hamilton,2018,0,0
Hardee,2018,10.3,2
Hendry,2018,3.3,1
Hernando,2018,7.5,14
Highlands,2018,18.1,15
Hillsborough,2018,7.2,111
Holmes,2018,5.3,1
Indian River,2018,5.9,11
Jackson,2018,8.7,4
Jefferson,2018,0,0
Lafayette,2018,0,0
Lake,2018,11.3,36
Lee,2018,8.4,56
Leon,2018,3.8,11
Levy,2018,6.7,2
Liberty,2018,0,0
Madison,2018,0,0
Manatee,2018,7.1,29
Marion,2018,12.7,42
Martin,2018,10.2,17
Monroe,2018,10.2,12
Nassau,2018,7.7,6
Okaloosa,2018,10.3,20
Okeechobee,2018,5.6,3
Orange,2018,5.5,78
Osceola,2018,6.9,25
Palm Beach,2018,8.6,133
Pasco,2018,9.9,50
Pinellas,2018,11.5,117
Polk,2018,7.1,47
Putnam,2018,13.5,9
St. Johns,2018,7.7,19
St. Lucie,2018,8.1,29
Santa Rosa,2018,7.5,14
Sarasota,2018,11.5,56
Seminole,2018,6.2,31
Sumter,2018,4.2,9
Suwannee,2018,7.9,3
Taylor,2018,0,0
Union,2018,20,3
Volusia,2018,9.4,55
Wakulla,2018,9.9,3
Walton,2018,5.5,4
Washington,2018,18.9,5
Alachua,2017,6.4,17
Baker,2017,0,0
Bay,2017,12.5,23
Bradford,2017,2.3,1
Brevard,2017,9.9,63
Broward,2017,6,120
Calhoun,2017,15.4,3
Charlotte,2017,4.6,10
Citrus,2017,7.2,11
Clay,2017,7.4,16
Collier,2017,7.8,27
Columbia,2017,5.5,4
Miami-Dade,2017,4,124
DeSoto,2017,0,0
Dixie,2017,0,0
Duval,2017,7,68
Escambia,2017,10.3,30
Flagler,2017,21.2,21
Franklin,2017,0,0
Gadsden,2017,2.3,1
Gilchrist,2017,0,0
Glades,2017,0,0
Gulf,2017,0,0
Hamilton,2017,0,0
Hardee,2017,0,0
Hendry,2017,0,0
Hernando,2017,6.3,14
Highlands,2017,7.1,8
Hillsborough,2017,6.3,93
Holmes,2017,0,0
Indian River,2017,13.9,16
Jackson,2017,5.3,3
Jefferson,2017,3.7,1
Lafayette,2017,0,0
Lake,2017,11.2,35
Lee,2017,6.2,42
Leon,2017,6,19
Levy,2017,5.6,3
Liberty,2017,0,0
Madison,2017,0,0
Manatee,2017,6.8,26
Marion,2017,7.4,25
Martin,2017,5.9,10
Monroe,2017,12.6,11
Nassau,2017,4.9,4
Okaloosa,2017,8.7,18
Okeechobee,2017,9.5,4
Orange,2017,5.3,73
Osceola,2017,5.8,20
Palm Beach,2017,7.8,123
Pasco,2017,8.1,41
Pinellas,2017,9,89
Polk,2017,5.9,43
Putnam,2017,10,6
St. Johns,2017,8.6,23
St. Lucie,2017,7.1,21
Santa Rosa,2017,7.5,13
Sarasota,2017,9.8,38
Seminole,2017,6,29
Sumter,2017,7.9,9
Suwannee,2017,6.6,2
Taylor,2017,2.9,1
Union,2017,16.5,3
Volusia,2017,11.9,56
Wakulla,2017,0,0
Walton,2017,6.8,4
Washington,2017,12.2,3
Alachua,2016,4.9,12
Baker,2016,3.6,1
Bay,2016,9,16
Bradford,2016,3.6,1
Brevard,2016,13.3,68
Broward,2016,7,138
Calhoun,2016,8.4,1
Charlotte,2016,7.7,13
Citrus,2016,5.4,7
Clay,2016,5.5,12
Collier,2016,5.2,17
Columbia,2016,0.9,1
Miami-Dade,2016,4.8,143
DeSoto,2016,7.7,3
Dixie,2016,11.8,2
Duval,2016,5.8,56
Escambia,2016,8.2,25
Flagler,2016,14,13
Franklin,2016,12.8,2
Gadsden,2016,2.3,1
Gilchrist,2016,13.9,2
Glades,2016,16.5,2
Gulf,2016,0,0
Hamilton,2016,0,0
Hardee,2016,19.2,5
Hendry,2016,11,4
Hernando,2016,6.4,10
Highlands,2016,5.2,7
Hillsborough,2016,5.4,76
Holmes,2016,6.7,1
Indian River,2016,6.9,13
Jackson,2016,4.4,2
Jefferson,2016,0,0
Lafayette,2016,0,0
Lake,2016,4.7,17
Lee,2016,6.9,44
Leon,2016,3.6,11
Levy,2016,3.2,1
Liberty,2016,0,0
Madison,2016,0,0
Manatee,2016,9.1,33
Marion,2016,6.9,22
Martin,2016,12,17
Monroe,2016,11.5,9
Nassau,2016,13.1,8
Okaloosa,2016,6.1,11
Okeechobee,2016,5.9,3
Orange,2016,5.3,69
Osceola,2016,5.4,17
Palm Beach,2016,9.1,133
Pasco,2016,9.7,51
Pinellas,2016,10.4,106
Polk,2016,6.5,43
Putnam,2016,10.9,6
St. Johns,2016,5.6,15
St. Lucie,2016,8.5,25
Santa Rosa,2016,9.7,16
Sarasota,2016,9.2,41
Seminole,2016,7.2,36
Sumter,2016,5.9,8
Suwannee,2016,1.4,1
Taylor,2016,0,0
Union,2016,11.2,2
Volusia,2016,8.9,46
Wakulla,2016,3.9,1
Walton,2016,7.3,4
Washington,2016,9.8,3
Alachua,2015,6.2,16
Baker,2015,3.5,1
Bay,2015,9.6,17
Bradford,2015,25.2,6
Brevard,2015,9.7,58
Broward,2015,5.7,113
Calhoun,2015,0,0
Charlotte,2015,9.8,15
Citrus,2015,6,10
Clay,2015,7.4,16
Collier,2015,7.1,25
Columbia,2015,6,4
