Year,Age,Count,Rate
2005,18–34,37,25
2005,35–54,173,32.5
2005,55–74,158,22.8
2005,75+,118,26.3
2006,18–34,37,26.4
2006,35–54,162,31.2
2006,55–74,177,26.3
2006,75+,124,27.3
2007,18–34,36,25.9
2007,35–54,181,35.7
2007,55–74,170,26.1
2007,75+,155,33.6
2008,18–34,57,41.9
2008,35–54,141,28.2
2008,55–74,206,32.5
2008,75+,149,32.1
2009,18–34,34,26
2009,35–54,180,37
2009,55–74,179,28.5
2009,75+,157,34.6
2010,18–34,31,24.4
2010,35–54,170,36.4
2010,55–74,197,29.5
2010,75+,161,38.2
2011,18–34,48,37.8
2011,35–54,157,34.9
2011,55–74,196,30
2011,75+,140,33.5
2012,18–34,38,30.4
2012,35–54,147,34
2012,55–74,200,30.4
2012,75+,147,35.1
2013,18–34,50,40
2013,35–54,137,32.8
2013,55–74,202,30.3
2013,75+,156,36.7
2014,18–34,41,33.1
2014,35–54,137,33.7
2014,55–74,221,32.9
2014,75+,142,33.1
2015,18–34,63,51.6
2015,35–54,138,35.2
2015,55–74,221,32.5
2015,75+,167,38.9
2016,18–34,51,41.8
2016,35–54,124,32.5
2016,55–74,218,32.1
2016,75+,157,38.2
2017,18–34,46,38.3
2017,35–54,125,33.4
2017,55–74,213,31.6
2017,75+,142,33.7
2018,18–34,42,35.9
2018,35–54,134,37.2
2018,55–74,244,37
2018,75+,157,36.4
