"_","ST","County","StateFIPS","CountyFIPS","Population","Deaths","Med_Cost","Work_Cost","U_C_Rate"
"","","","","","","","","",""
"2008-2014, Florida","","","","","","","","",""
"Death Rates per 100,000 Population","","","","","","","","",""
"All Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages","","","","","","","","",""
"Annualized Crude Rate for Florida: 68.72","","","","","","","","",""
"Florida Estimated Average Annual Medical Costs of $114,699,148 and Work Loss Costs of $8,881,362,270","","","","","","","","",""
"","","","","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  These rates are suppressed for counties (see legend above); such rates in the title have an asterisk.","","","","","","","","",""
"","","","","","","","","",""
"Medical and work loss cost estimates are expressed in year 2005 dollars.                                      m7079314 created 11DEC21:14:50     downloaded 11DEC21:14:50","","","","","","","","",""
"Cost estimates are not comparable across states; county-level cost estimates should only be used for comparisons within this state.","","","","","","","","",""
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","ST","County","StateFIPS","CountyFIPS","Population","Deaths","Med_Cost","Work_Cost","U_C_Rate"
"","FL","ALACHUA","12","1","1749995","1023","1621611.264","88320818.5","58.45730988"
"","FL","BAKER","12","3","189179","131","145831.6281","15371599.61","69.24658657"
"","FL","BAY","12","5","1198228","957","1049645.953","100096088.8","79.86793832"
"","FL","BRADFORD","12","7","195677","193","256481.6892","19774205.16","98.63192915"
"","FL","BREVARD","12","9","3828288","3175","3817454.215","300285816.6","82.93524416"
"","FL","BROWARD","12","11","12527777","7092","8588189.98","707527275.5","56.61020307"
"","FL","CALHOUN","12","13","102319","72","73142.99647","6487717.745","70.36816232"
"","FL","CHARLOTTE","12","15","1135901","702","918759.9008","55773196.6","61.80116049"
"","FL","CITRUS","12","17","982313","1073","1355273.909","85838609.86","109.2319861"
"","FL","CLAY","12","19","1350173","864","862884.0747","91714682.14","63.99179957"
"","FL","COLLIER","12","21","2306305","1724","2309705.036","130171388.7","74.75160484"
"","FL","COLUMBIA","12","23","472964","483","640956.8201","47242326.73","102.1219374"
"","FL","DE SOTO","12","27","242837","152","123222.8138","14069693.4","62.59342687"
"","FL","DIXIE","12","29","113317","154","192168.646","14122742.68","135.9019388"
"","FL","DUVAL","12","31","6117404","4603","5593167.51","516797590.2","75.24433567"
"","FL","ESCAMBIA","12","33","2113874","1461","1856055.556","159174075.9","69.11481006"
"","FL","FLAGLER","12","35","682105","448","534932.7514","40843528.05","65.67903768"
"","FL","FRANKLIN","12","37","81191","72","69921.12978","7123827.365","88.67977978"
"","FL","GADSDEN","12","39","325484","233","280069.6661","24390916.31","71.58570007"
"","FL","GILCHRIST","12","41","118320","123","147589.0581","10536471.33","103.9553753"
"","FL","GLADES","12","43","91487","77","109039.2214","8357071.638","84.16496333"
"","FL","GULF","12","45","110736","89","118575.2703","8366246.551","80.37133362"
"","FL","HAMILTON","12","47","102174","82","63469.10211","8656840.782","80.25525085"
"","FL","HARDEE","12","49","192972","132","143359.1345","14344084.99","68.40370624"
"","FL","HENDRY","12","51","270084","210","271440.0602","24268664.77","77.75358777"
"","FL","HERNANDO","12","53","1213180","1345","1590391.14","105916807.2","110.8656588"
"","FL","HIGHLANDS","12","55","689912","567","713587.9421","47475143.7","82.18439453"
"","FL","HILLSBOROUGH","12","57","8804244","6004","7679861.757","613016921.3","68.19438444"
"","FL","HOLMES","12","59","139060","130","152446.5916","12351787.33","93.48482669"
"","FL","INDIAN RIVER","12","61","977678","864","1239519.73","64344435.59","88.37265439"
"","FL","JACKSON","12","63","345989","261","384609.8285","23915647.01","75.43592426"
"","FL","JEFFERSON","12","65","101002","80","113039.0904","7445238.497","79.20635235"
"","FL","LAFAYETTE","12","67","61061","47","54261.08656","4466484.232","76.97220812"
"","FL","LAKE","12","69","2113358","1874","2803458.909","137456497.4","88.67404387"
"","FL","LEE","12","71","4459284","3459","4490863.466","296027867.4","77.56850651"
"","FL","LEON","12","73","1948226","950","1191101.578","98492739.6","48.76230992"
"","FL","LEVY","12","75","282061","320","448294.1299","29095956.87","113.4506366"
"","FL","LIBERTY","12","77","58203","44","57359.40686","4141190.67","75.59747779"
"","FL","MADISON","12","79","133151","111","142548.2761","10210738.25","83.36400027"
"","FL","MANATEE","12","81","2318002","1814","2174337.883","176350036","78.25705068"
"","FL","MARION","12","83","2334558","2372","3086668.503","181840486.1","101.6038154"
"","FL","MARTIN","12","85","1037504","803","933383.4793","65700417.33","77.39729196"
"","FL","MIAMI-DADE","12","86","17892056","8171","10685239.09","862018015.8","45.66831224"
"","FL","MONROE","12","87","521261","531","567199.0361","48498943.17","101.8683539"
"","FL","NASSAU","12","89","518588","442","439516.4168","42908603.34","85.23143613"
"","FL","OKALOOSA","12","91","1307896","840","1066207.554","87040707.57","64.22529008"
"","FL","OKEECHOBEE","12","93","276814","257","264117.7539","26685982.77","92.84212504"
"","FL","ORANGE","12","95","8245084","4331","5242647.557","501893412.2","52.52827018"
"","FL","OSCEOLA","12","97","1973132","981","1252805.121","107189852.1","49.71791041"
"","FL","PALM BEACH","12","99","9393574","6475","6638518.444","630579804.9","68.93010051"
